source,id,price,facilities,location,area,rooms,floor,storeys,building_type,condition,ceiling_height,bathroom_count,bedrooms,added_in_date,view_count,additional_features,latitude,visit_count,utilities,room_details,details,longitude
myrealty,142307,160000,"['Electricity', 'Air-conditioner', 'Internet', 'Gas', 'Heating', 'Open balcony', 'Furniture']","Yerevan, Center, Charents St",56,2,3,17,Monolit,Newly repaired,3 M,1,,13.11.2023,109,,,,,,,
myrealty,142306,275000,"['Heating', 'Internet', 'Electricity', 'Air-conditioner', 'Gas', 'Furniture', 'Equipment', 'Euro windows', 'Open balcony', 'Roadside', 'Park', 'Elevator']","Yerevan, Center, Charents St",73,3,7,17,Monolit,Newly repaired,3 M,1,,13.11.2023,90,,,,,,,
myrealty,142304,138000,"['Heating', 'Internet', 'Hot water', 'Sewerage, Canalization', 'Electricity', 'Air-conditioner', 'Gas', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Iron door', 'Open balcony', 'Sunny', 'View', 'Close to the bus station', 'Parking']","Yerevan, Erebuni, Nor Aresh 42 St",93,3,3,4,Monolit,Newly repaired,3 M,1,,13.11.2023,108,,,,,,,
myrealty,142301,120000,"['Heating', 'Internet', 'Hot water', 'Electricity', 'Air-conditioner', 'Gas', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Laminate flooring', 'Sunny', 'View', 'Close to the bus station']","Yerevan, Arabkir, N. Tigranyan St",59,3,5,5,Stone,Newly repaired,2.8 M,1,,13.11.2023,72,,,,,,,
myrealty,142300,115000,"['Electricity', 'water 24/7', 'Water', 'Sewerage, Canalization', 'Open balcony', 'Elevator', 'Euro windows', 'Sunny', 'View', 'Close to the bus station', 'Playground', 'Parking', 'Iron door']","Yerevan, Malatia-Sebastia, Sebastia str",68,3,5,6,Monolit,Zero condition,3 M,1,,13.11.2023,59,,,,,,,
myrealty,142299,151000,"['Electricity', 'water 24/7', 'Water', 'Sewerage, Canalization', 'Open balcony', 'Elevator', 'Euro windows', 'Sunny', 'View', 'Close to the bus station', 'Parking', 'Iron door']","Yerevan, Malatia-Sebastia, Sebastia str",89,4,2,6,Monolit,Zero condition,3 M,1,,13.11.2023,70,,,,,,,
myrealty,142296,185000,[],"Yerevan, Center, Mashtots Ave",60,2,3,5,Stone,Newly repaired,3 M,1,,13.11.2023,70,,,,,,,
myrealty,142294,185000,"['Heating', 'Internet', 'Hot water', 'Electricity', 'Air-conditioner', 'Gas', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Open balcony', 'Tile', 'Laminate flooring', 'Parquet', 'Sunny', 'View', 'Playground', 'Elevator']","Yerevan, Davtashen, Mikoyan St",76,3,9,16,Monolit,Newly repaired,3.2 M,1,,13.11.2023,67,,,,,,,
myrealty,142292,230000,"['Heating', 'Gas', 'Internet', 'Air-conditioner', 'Electricity', 'water 24/7', 'Water', 'Furniture', 'Equipment', 'Open balcony', 'Sunny', 'Roadside']","Yerevan, Center, Ghazar Parpetsi St",113,3,5,5,Stone,Newly repaired,3 M,1,,13.11.2023,141,,,,,,,
myrealty,142291,370000,"['Air-conditioner', 'Internet', 'Hot water', 'Gas', 'Heating', 'Heated floor', 'Euro windows', 'Open balcony', 'Equipment', 'Furniture']","Yerevan, Arabkir, A. Khachatrian St",103,3,5,13,Monolit,Newly repaired,3 M,2,,12.11.2023,190,,,,,,,
myrealty,142290,237000,"['Heating', 'Internet', 'Hot water', 'Electricity', 'Air-conditioner', 'Gas', 'Water', 'water 24/7', 'Furniture', 'Iron door', 'Basement', 'Parquet', 'Sunny', 'High first floor']","Yerevan, Center, Saryan St",81,4,4,5,Stone,Good,2.8 M,1,,11.11.2023,194,,,,,,,
myrealty,142288,267000,"['Heating', 'Internet', 'Hot water', 'Electricity', 'Air-conditioner', 'Central heating', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Open balcony', 'Tile', 'Laminate flooring', 'Sunny', 'View', 'Roadside', 'Close to the bus station', 'Elevator']","Yerevan, Center, Leo St",62,2,5,18,Monolit,Newly repaired,3 M,1,,11.11.2023,207,,,,,,,
myrealty,142285,160000,"['Heating', 'Internet', 'Hot water', 'Sewerage, Canalization', 'Electricity', 'Gas', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Iron door', 'Open balcony', 'Sunny', 'View', 'Parking', 'Playground', 'Elevator']","Yerevan, Davtashen, Tigran Petrosyan St",68,3,5,5,Monolit,Newly repaired,3 M,1,,11.11.2023,192,,,,,,,
myrealty,142283,155000,"['Sewerage, Canalization', 'Electricity', 'Water', 'water 24/7', 'Euro windows', 'Iron door', 'Open balcony', 'Sunny', 'View', 'Roadside', 'Close to the bus station', 'Parking', 'Park', 'Elevator']","Yerevan, Nor Norq, Lvovyan St",91,3,3,8,Monolit,Zero condition,3 M,1,,11.11.2023,147,,,,,,,
myrealty,142282,149000,"['Heating', 'Internet', 'Hot water', 'Sewerage, Canalization', 'Electricity', 'Gas', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Iron door', 'Sunny', 'View', 'Close to the bus station', 'Parking']","Yerevan, Center, Arshakunyats Ave",78,4,2,4,Other,Newly repaired,3.2 M,1,,11.11.2023,144,,,,,,,
myrealty,142280,115000,"['Heating', 'Internet', 'Hot water', 'Sewerage, Canalization', 'Electricity', 'Air-conditioner', 'Gas', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Fireplace', 'Euro windows', 'Iron door', 'Balcony', 'Tile', 'Sunny', 'Close to the bus station', 'Parking', 'High first floor', 'Elevator']","Yerevan, Arabkir, Nikol Duman St",60,2,1,14,Panel,Newly repaired,2.8 M,1,,11.11.2023,139,,,,,,,
myrealty,142279,70000,"['Water', 'water 24/7', 'Electricity']","Yerevan, Malatia-Sebastia, Raffi St",49,2,6,14,Monolit,Zero condition,3 M,1,,11.11.2023,216,,,,,,,
myrealty,142274,310000,[],"Yerevan, Center, Rostom St",109,3,6,18,Monolit,Newly repaired,3 M,1,,10.11.2023,192,,,,,,,
myrealty,142272,160000,[],"Yerevan, Davtashen, Mikoyan St",71,3,7,14,Monolit,Newly repaired,3 M,1,,10.11.2023,221,,,,,,,
myrealty,142267,242500,[],"Yerevan, Center, Vardanants St",51,2,8,15,Monolit,Newly repaired,3 M,1,,10.11.2023,189,,,,,,,
myrealty,142266,120000,"['Heating', 'Internet', 'Hot water', 'Sewerage, Canalization', 'Electricity', 'Air-conditioner', 'Water', 'water 24/7', 'Equipment', 'Euro windows', 'Iron door', 'Open balcony', 'Security system', 'Sunny', 'View', 'Roadside', 'Close to the bus station', 'Parking', 'Elevator']","Yerevan, Davtashen, Mikoyan St",67,2,4,16,Monolit,Newly repaired,3.2 M,1,,10.11.2023,192,,,,,,,
myrealty,142262,305000,"['Heating', 'Internet', 'Hot water', 'Electricity', 'Air-conditioner', 'Gas', 'Water', 'water 24/7', 'Equipment']","Yerevan, Qanaqer-Zeytun, Davit Anhaxt St",122,3,8,15,Monolit,Newly repaired,3 M,2,,10.11.2023,184,,,,,,,
myrealty,142260,390000,"['Heating', 'Gas', 'Hot water', 'Internet', 'Air-conditioner', 'Electricity', 'water 24/7', 'Water', 'Open balcony']","Yerevan, Arabkir, Adonts St",156,3,13,16,Monolit,Newly repaired,3 M,1,,10.11.2023,191,,,,,,,
myrealty,142259,87000,['Open balcony'],"Yerevan, Davtashen, Mikoyan St",54,2,14,18,Monolit,Zero condition,3 M,1,,10.11.2023,270,,,,,,,
myrealty,142258,140000,"['Heating', 'Gas', 'Hot water', 'Internet', 'Air-conditioner', 'Electricity', 'water 24/7', 'Water', 'Furniture', 'Equipment']","Yerevan, Achapnyak, Leningradyan St",55,2,8,16,Monolit,Newly repaired,3 M,1,,10.11.2023,124,,,,,,,
myrealty,142239,142000,"['Heating', 'Internet', 'Hot water', 'Sewerage, Canalization', 'Electricity', 'Air-conditioner', 'Gas', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Iron door', 'Open balcony', 'Tile', 'Sunny', 'View', 'Close to the bus station', 'Parking']","Yerevan, Qanaqer-Zeytun, A. Tigranyan St",113,3,2,5,Stone,Newly repaired,2.8 M,2,,10.11.2023,189,,,,,,,
myrealty,142238,170000,"['Heating', 'Internet', 'Hot water', 'Electricity', 'Air-conditioner', 'Gas', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Open balcony', 'Sunny', 'View', 'Close to the bus station', 'Elevator']","Yerevan, Center, Tsitsernakaberd Highway",60,2,6,12,Monolit,Newly repaired,3 M,1,,09.11.2023,377,,,,,,,
myrealty,142231,195500,"['Sewerage, Canalization', 'Electricity', 'Water', 'water 24/7', 'Euro windows', 'Iron door', 'Open balcony', 'Sunny', 'View', 'Roadside', 'Close to the bus station', 'Parking', 'Playground', 'Park']","Yerevan, Center, M.Khorenatsi St",115,3,6,8,Monolit,Zero condition,3 M,2,,09.11.2023,226,,,,,,,
myrealty,142228,150000,"['Heating', 'Internet', 'Hot water', 'Electricity', 'Gas', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Open balcony', 'Laminate flooring', 'Parquet', 'Sunny', 'View', 'Close to the bus station']","Yerevan, Center, Tigran Mets Ave",90,3,5,5,Stone,Good,3 M,1,,09.11.2023,174,,,,,,,
