source,id,price,facilities,location,area,rooms,floor,storeys,building_type,condition,ceiling_height,bathroom_count,bedrooms,added_in_date,view_count,additional_features,latitude,visit_count,utilities,room_details,details,longitude,flooring,entrance_door,construction_type,renovation,windows,heating,parking,cooling
bnakaran,d115650,260000,,,65,2,14,16,,,,,,16.11.2023,,"['persistent water', 'electricity', 'laminatе flooring', 'metal door', 'refrigerator', 'shower', 'open balcony', 'elevator', 'built-in wardrobes', 'LED TV', 'appliances', 'bathroom tiled', 'plastic windows', 'washing machine', 'exclusive design', 'sunny', 'natural gas', 'furnished']",44.505586252639,262,[],"{'rooms': '2', 'bedrooms': '1', 'bathrooms': '1', 'kitchens': '1', 'balconies': '1'}",,40.184967516543,laminate,metal,in situ concrete,renovated,plastic,centralized,outdoor,
bnakaran,d107965,320000,,,120,3,21,22,,,,,,16.11.2023,,"['new wiring', 'persistent water', 'new water tubes', 'electricity', 'playground', 'metal door', 'sec. sys.', 'sec. worker', 'open balcony', 'elevator', 'plastic windows', 'sunny']",44.489549806915,73,[],"{'rooms': '3', 'bedrooms': '2', 'bathrooms': '2', 'kitchens': '1', 'balconies': '1'}",,40.178970780335,,metal,in situ concrete,not renovated,plastic,,underground,
bnakaran,d80872,165000,,,70,2,7,14,,,,,,16.11.2023,,"['new wiring', 'persistent water', 'electricity', 'laminatе flooring', 'metal door', 'cable TV', 'intercom', 'open balcony', 'elevator', 'built-in wardrobes', 'kitchen tiled', 'appliances', 'bathroom tiled', 'plastic windows', 'natural gas', 'kitchen furniture', 'internet', 'furnished']",44.50093822,44,[],"{'rooms': '2', 'bedrooms': '1', 'bathrooms': '1', 'kitchens': '1', 'balconies': '1'}",,40.20104327,laminate,metal,in situ concrete,renovated,plastic,gas boiler,outdoor,
bnakaran,d85484,900000,,,143,3,7,12,,,,,,16.11.2023,,"['air conditioner', 'new wiring', 'persistent water', 'new water tubes', 'electricity', 'metal door', 'sec. sys.', 'open balcony', 'elevator', 'built-in wardrobes', 'kitchen tiled', 'appliances', 'plastic windows', 'exclusive design', 'sunny', 'natural gas', 'kitchen furniture', 'jacuzzi', 'internet', 'furnished']",44.51240735,71,[],"{'rooms': '3', 'bedrooms': '2', 'bathrooms': '2', 'kitchens': '1', 'balconies': '1'}",,40.18048421,,metal,in situ concrete,renovated,plastic,centralized,underground,air conditioner
bnakaran,d116524,82000,,,30,1,3,4,,,,,,16.11.2023,,"['laminatе flooring', 'metal door', 'open balcony', 'kitchen tiled', 'bathroom tiled', 'plastic windows', 'sunny', 'kitchen furniture']",44.505997641525,251,[],"{'rooms': '1', 'bedrooms': '1', 'bathrooms': '1', 'kitchens': '1', 'balconies': '1'}",,40.206132062124,laminate,metal,stone,renovated,plastic,gas boiler,,
bnakaran,d111336,800000,,,320,5,18,18,,,,,,16.11.2023,,"['heating flooring', 'new wiring', 'new water tubes', 'playground', 'pool', 'open balcony', 'natural gas', 'internet', 'gym', 'persistent water', 'electricity', 'laminatе flooring', 'metal door', 'cable TV', 'sec. sys.', 'sec. worker', 'elevator', 'built-in wardrobes', 'kitchen tiled', 'appliances', 'bathroom tiled', 'plastic windows', 'renovated roof', 'exclusive design', 'sunny', 'kitchen furniture', 'furnished']",44.486276542328,45,[],"{'rooms': '5', 'bedrooms': '4', 'bathrooms': '5', 'kitchens': '1', 'storage rooms': '2', 'balconies': '3'}",,40.199895630524,laminate,metal,in situ concrete,euro renovated,plastic,centralized,underground,
bnakaran,d114712,780000,,,140,3,3,9,,,,,,16.11.2023,,"['new wiring', 'persistent water', 'hardwood flooring', 'new water tubes', 'electricity', 'metal door', 'open balcony', 'elevator', 'kitchen tiled', 'appliances', 'bathroom tiled', 'plastic windows', 'natural gas', 'kitchen furniture', 'furnished']",44.514430609787,68,[],"{'rooms': '3', 'bedrooms': '2', 'bathrooms': '2', 'kitchens': '1', 'balconies': '2'}",,40.182367871729,hardwood,metal,in situ concrete,renovated,plastic,centralized,outdoor,
bnakaran,d116333,300000,,,129,4,6,8,,,,,,16.11.2023,,"['air conditioner', 'new wiring', 'new water tubes', 'playground', 'refrigerator', 'open balcony', 'air conditioner', 'washing machine', 'natural gas', 'bathtub', 'persistent water', 'hardwood flooring', 'electricity', 'metal door', 'intercom', 'shower', 'elevator', 'LED TV', 'built-in wardrobes', 'kitchen tiled', 'appliances', 'bathroom tiled', 'plastic windows', 'sunny', 'kitchen furniture', 'furnished']",44.522924084656,178,[],"{'rooms': '4', 'bedrooms': '3', 'bathrooms': '2', 'kitchens': '1', 'balconies': '2'}",,40.213436935609,hardwood,metal,in situ concrete,renovated,plastic,gas boiler,garage of stone,air conditioner
bnakaran,d91225,750000,,,189,4,12,17,special,,,,,16.11.2023,,"['air conditioner', 'new wiring', 'persistent water', 'hardwood flooring', 'new water tubes', 'electricity', 'metal door', 'sec. sys.', 'open balcony', 'elevator', 'built-in wardrobes', 'kitchen tiled', 'appliances', 'bathroom tiled', 'plastic windows', 'exclusive design', 'sunny', 'natural gas', 'kitchen furniture']",44.500180591713,183,[],"{'rooms': '4', 'bedrooms': '3', 'bathrooms': '3', 'kitchens': '1', 'storage rooms': '1', 'balconies': '3'}",,40.192329538832,hardwood,metal,in situ concrete,renovated,plastic,centralized,underground,air conditioner
bnakaran,d117806,305000,,,58,2,6,14,,,,,,16.11.2023,,"['new wiring', 'persistent water', 'new water tubes', 'electricity', 'laminatе flooring', 'metal door', 'refrigerator', 'intercom', 'elevator', 'built-in wardrobes', 'kitchen tiled', 'appliances', 'bathroom tiled', 'plastic windows', 'washing machine', 'exclusive design', 'sunny', 'natural gas', 'kitchen furniture', 'furnished']",44.515502425933,34,[],"{'rooms': '2', 'bedrooms': '1', 'bathrooms': '1', 'kitchens': '1'}",,40.177224139968,laminate,metal,in situ concrete,euro renovated,plastic,centralized,,
bnakaran,d114612,720000,,,185,4,10,22,,,,,,16.11.2023,,"['new wiring', 'persistent water', 'new water tubes', 'electricity', 'metal door', 'sec. sys.', 'open balcony', 'elevator', 'plastic windows', 'sunny', 'natural gas']",44.520130964279,46,[],"{'rooms': '4', 'bedrooms': '3', 'bathrooms': '3', 'kitchens': '1', 'balconies': '2'}",,40.183208975448,,metal,in situ concrete,not renovated,plastic,centralized,,
bnakaran,d117205,255000,,,148,4,3,5,,,,,,16.11.2023,,"['air conditioner', 'new wiring', 'persistent water', 'new water tubes', 'electricity', 'laminatе flooring', 'metal door', 'refrigerator', 'built-in wardrobes', 'LED TV', 'air conditioner', 'kitchen tiled', 'appliances', 'bathroom tiled', 'plastic windows', 'washing machine', 'natural gas', 'kitchen furniture', 'furnished']",44.513391,192,[],"{'rooms': '4', 'bedrooms': '3', 'bathrooms': '2', 'kitchens': '1'}",,40.204861,laminate,metal,stone,euro renovated,plastic,gas boiler,,air conditioner
bnakaran,d113543,370000,,,165,3,4,5,,,,,,16.11.2023,,"['air conditioner', 'persistent water', 'hardwood flooring', 'electricity', 'metal door', 'intercom', 'open balcony', 'built-in wardrobes', 'kitchen tiled', 'plastic windows', 'renovated roof', 'exclusive design', 'sunny', 'natural gas', 'kitchen furniture', 'furnished']",44.512879,49,[],"{'rooms': '3', 'bedrooms': '2', 'bathrooms': '2', 'kitchens': '1', 'balconies': '1'}",,40.17787,hardwood,metal,stone,renovated,plastic,gas boiler,,air conditioner
bnakaran,d108980,75000,,,51,2,1,4,,,,,,16.11.2023,,"['air conditioner', 'heating flooring', 'new wiring', 'persistent water', 'new water tubes', 'electricity', 'metal door', 'refrigerator', 'intercom', 'dishwasher', 'air conditioner', 'appliances', 'bathroom tiled', 'plastic windows', 'renovated roof', 'washing machine', 'sunny', 'natural gas', 'kitchen furniture', 'furnished']",44.584857354492,211,[],"{'rooms': '2', 'bedrooms': '1', 'bathrooms': '1', 'kitchens': '1'}",,40.222407329729,,metal,in situ concrete,"renovated, uninhabited",plastic,centralized,outdoor,air conditioner
bnakaran,d117682,135000,,,40,2,2,5,,,,,,16.11.2023,,"['air conditioner', 'new wiring', 'persistent water', 'new water tubes', 'electricity', 'laminatе flooring', 'metal door', 'refrigerator', 'intercom', 'kettle', 'microwave', 'elevator', 'LED TV', 'air conditioner', 'kitchen tiled', 'appliances', 'bathroom tiled', 'plastic windows', 'washing machine', 'sunny', 'natural gas', 'kitchen furniture', 'furnished']",44.515102096538,257,[],"{'rooms': '2', 'bedrooms': '1', 'bathrooms': '1', 'kitchens': '1'}",,40.169279922988,laminate,metal,in situ concrete,renovated,plastic,air conditioner,outdoor,air conditioner
bnakaran,d117802,520000,,,170,4,3,4,Stalin,,,,,16.11.2023,,"['air conditioner', 'persistent water', 'hardwood flooring', 'electricity', 'open balcony', 'elevator', 'built-in wardrobes', 'kitchen tiled', 'appliances', 'bathroom tiled', 'plastic windows', 'sunny', 'natural gas', 'kitchen furniture', 'internet', 'furnished']",44.512879,58,[],"{'rooms': '4', 'bedrooms': '3', 'bathrooms': '2', 'kitchens': '1', 'balconies': '2'}",,40.17787,hardwood,,stone,renovated,plastic,gas boiler,,air conditioner
bnakaran,d109621,,,,60,2,4,12,special,,,,,16.11.2023,,"['air conditioner', 'persistent water', 'electricity', 'laminatе flooring', 'metal door', 'cable TV', 'refrigerator', 'intercom', 'TV set', 'cable TV', 'elevator', 'air conditioner', 'appliances', 'bathroom tiled', 'plastic windows', 'washing machine', 'sunny', 'natural gas', 'kitchen furniture', 'internet', 'furnished']",44.510496188837,356,[],"{'rooms': '2', 'bedrooms': '1', 'bathrooms': '1', 'kitchens': '1'}",,40.179313664828,laminate,metal,in situ concrete,renovated,plastic,,,air conditioner
bnakaran,d85024,135000,,,65,2,2,5,,,,,,16.11.2023,,"['air conditioner', 'new wiring', 'persistent water', 'new water tubes', 'electricity', 'laminatе flooring', 'metal door', 'cable TV', 'intercom', 'open balcony', 'built-in wardrobes', 'kitchen tiled', 'appliances', 'bathroom tiled', 'plastic windows', 'sunny', 'natural gas', 'kitchen furniture', 'internet', 'furnished']",44.496495937201,54,[],"{'rooms': '2', 'bedrooms': '1', 'bathrooms': '1', 'kitchens': '1', 'balconies': '1'}",,40.199313364247,laminate,metal,stone,renovated,plastic,gas boiler,outdoor,air conditioner
bnakaran,d88473,,,,60,2,4,5,,,,,,16.11.2023,,"['air conditioner', 'new wiring', 'new water tubes', 'refrigerator', 'internet', 'satellite TV', 'open balcony', 'air conditioner', 'washing machine', 'natural gas', 'internet', 'persistent water', 'electricity', 'laminatе flooring', 'metal door', 'cable TV', 'dinnerware', 'Wi-Fi', 'dishwasher', 'LED TV', 'built-in wardrobes', 'kitchen tiled', 'appliances', 'bathroom tiled', 'plastic windows', 'kitchen furniture', 'furnished']",44.526031401656,42,[],"{'rooms': '2', 'bedrooms': '1', 'bathrooms': '1', 'kitchens': '1', 'balconies': '1'}",,40.205034077158,laminate,metal,stone,"renovated, uninhabited",plastic,gas boiler,outdoor,air conditioner
bnakaran,d113304,,,,195,4,16,16,,,,,,16.11.2023,,"['new wiring', 'persistent water', 'new water tubes', 'electricity', 'metal door', 'open balcony', 'elevator', 'plastic windows', 'sunny']",44.509184988052,39,[],"{'rooms': '4', 'bedrooms': '3', 'bathrooms': '2', 'kitchens': '1', 'balconies': '2'}",,40.181542533655,,metal,in situ concrete,not renovated,plastic,,,
bnakaran,d115472,105000,,,42,2,2,10,,,,,,16.11.2023,,"['persistent water', 'electricity', 'laminatе flooring', 'metal door', 'refrigerator', 'elevator', 'built-in wardrobes', 'LED TV', 'kitchen tiled', 'appliances', 'bathroom tiled', 'plastic windows', 'washing machine', 'sunny', 'natural gas', 'kitchen furniture', 'furnished']",44.503449695768,179,[],"{'rooms': '2', 'bedrooms': '1', 'bathrooms': '1', 'kitchens': '1'}",,40.196814778967,laminate,metal,,renovated,plastic,gas boiler,,
