source,webpage,id,price,facilities,location,area,rooms,floor,storeys,building_type,condition,ceiling_height,bathroom_count,bedrooms,added_in_date,view_count,additional_features,latitude,visit_count,utilities,room_details,details,longitude,flooring,entrance_door,construction_type,renovation,windows,heating,parking,cooling
myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale-in-new-construction/Fuchik+St/Achapnyak/Yerevan/135918,135918,190000,"['Heating', 'Internet', 'Hot water', 'Electricity', 'Gas', 'Water', 'Furniture', 'Equipment', 'Euro windows', 'Open balcony', 'Tile', 'Laminate flooring', 'Sunny', 'View', 'Roadside', 'Close to the bus station', 'Elevator']","Yerevan, Achapnyak, Fuchik St",83,3,13,14,Monolit,Newly repaired,3 M,1,,19.06.2023,1548,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale-in-new-construction/Teryan+St/Center/Yerevan/136000,136000,1000000,"['Heating', 'Hot water', 'Electricity', 'Central heating', 'Water', 'Furniture', 'Equipment', 'Euro windows', 'Iron door', 'Tile', 'Parquet', 'Security system', 'Sunny', 'View', 'Bilateral', 'Roadside', 'Close to the bus station', 'Park', 'Elevator']","Yerevan, Center, Teryan St",192,3,10,13,Monolit,Newly repaired,3 M,2,,19.06.2023,1080,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/1-bedroom/apartment-for-sale/Azatutyan+Ave/Arabkir/Yerevan/135884,135884,87000,"['Hot water', 'Electricity', 'Air-conditioner', 'Gas', 'water 24/7', 'Euro windows', 'Open balcony', 'Tile', 'Sunny']","Yerevan, Arabkir, Azatutyan Ave",47,1,2,5,Stone,Good,3 M,1,,17.06.2023,1603,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/1-bedroom/apartment-for-sale/M.Khorenatsi+St/Center/Yerevan/135870,135870,128000,[],"Yerevan, Center, M.Khorenatsi St",37,1,2,10,Panel,Good,2.8 M,1,,17.06.2023,1846,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/2-bedroom/apartment-for-sale-in-new-construction/Argishti+St/Center/Yerevan/135790,135790,310000,"['Air-conditioner', 'Internet', 'Hot water', 'Gas', 'Heating', 'Equipment', 'Furniture']","Yerevan, Center, Argishti St",92,2,10,15,Monolit,Newly repaired,3 M,1,,16.06.2023,1549,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale-in-new-construction/Komitas+Ave/Arabkir/Yerevan/135789,135789,255000,"['Gas', 'Heating', 'Open balcony', 'Equipment', 'Furniture']","Yerevan, Arabkir, Komitas Ave",113,3,4,13,Monolit,Newly repaired,3 M,2,,16.06.2023,987,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/2-bedroom/apartment-for-sale-in-new-construction/Buzand+St/Center/Yerevan/135775,135775,290000,"['Heating', 'Internet', 'Hot water', 'Electricity', 'Air-conditioner', 'Gas', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Open balcony', 'Sunny', 'View', 'Close to the bus station', 'Elevator']","Yerevan, Center, Buzand St",50,2,4,17,Monolit,Newly repaired,3 M,1,,15.06.2023,1464,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/2-bedroom/apartment-for-sale-in-new-construction/Sayat-Nova+Ave/Center/Yerevan/135773,135773,265000,"['water 24/7', 'Electricity', 'Central heating', 'Tile', 'Euro windows', 'Equipment', 'Furniture']","Yerevan, Center, Sayat-Nova Ave",62,2,8,21,Monolit,Newly repaired,3 M,1,,15.06.2023,1623,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale-in-new-construction/Davit+Anhaxt+St/Qanaqer-Zeytun/Yerevan/135860,135860,400000,"['Heating', 'Hot water', 'Electricity', 'Gas', 'Water', 'water 24/7', 'Euro windows', 'Open balcony', 'Sunny', 'View', 'Bilateral', 'Roadside', 'Close to the bus station', 'Elevator']","Yerevan, Qanaqer-Zeytun, Davit Anhaxt St",115,3,11,15,Monolit,Good,3 M,2,,15.06.2023,1082,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/6-bedroom/apartment-for-sale/Amiryan+St/Center/Yerevan/135704,135704,550000,"['Gas', 'Heating', 'Equipment', 'Furniture']","Yerevan, Center, Amiryan St",172,6,4,4,Stone,Newly repaired,3.2 M,2,,14.06.2023,4206,,,,,,,,,,,,,,,
