source,webpage,id,price,facilities,location,area,rooms,floor,storeys,building_type,condition,ceiling_height,bathroom_count,bedrooms,added_in_date,view_count,additional_features,latitude,visit_count,utilities,room_details,details,longitude,flooring,entrance_door,construction_type,renovation,windows,heating,parking,cooling
bars,https://bars.am/en/properties/standard/apartment/4-3-1392,4-3-1392,142000,['Elevator'],Yerevan/Arabkir/Griboyedov Street,71.0,3,3,14,New building,Without renovation,3.0,1,2,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/4-3-1391,4-3-1391,230000,"['Elevator', 'Heating system', 'French balcony', 'Furniture']",Yerevan/Arabkir/Adonts Street,98.0,3,3,8,New building,Major overhaul,3.0,2,2,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/4-3-1217,4-3-1217,102000,"['Elevator', 'Heating system', 'Air conditioning', 'Open balcony', 'Built-in furniture']",Yerevan/Arabkir/Hovsep Emin Street,90.2,3,9,9,Panel,Major overhaul,2.75,1,3,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/4-3-554,4-3-554,600000,"['First line', 'Building service', 'Building security', 'Elevator', 'Heating system', 'Air conditioning', 'Front balcony', 'Open balcony', 'Washing machine', 'Kitchen stove', 'Fridge', 'TV', 'Furniture', 'Built-in furniture', 'Kitchen furniture', 'Wardrobe', 'Transport availability', 'Exclusive design']",Yerevan/Arabkir/Baghramyan Avenue (AR.),187.0,4,4,16,New building,Major overhaul,3.0,2,3,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/1-3-1771,1-3-1771,330000,"['Elevator', 'Heating system', 'Air conditioning', 'Open balcony']",Yerevan/Small Center/Vardanants Street (S.C.),140.0,6,5,9,Panel,Major overhaul,2.75,3,3,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/1-А-114,1-А-114,300000,"['Building service', 'Building security', 'Parking', 'Elevator', 'Open balcony']",Yerevan/Small Center/Verin Antarain Street,121.0,4,4,4,New building,Without renovation,3.0,2,3,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/4-3-1390,4-3-1390,320000,"['Parking', 'Elevator', 'Open balcony']",Yerevan/Arabkir/Aram Khachatryan Street,93.0,3,10,11,New building,Major overhaul,3.0,1,2,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/1-B-108,1-B-108,330000,"['Elevator', 'Heating system', 'Open balcony', 'Washing machine', 'Kitchen stove', 'Fridge', 'TV', 'Furniture', 'Kitchen furniture']",Yerevan/Small Center/Buzand Street,105.0,3,3,10,New building,Major overhaul,3.0,2,2,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/1-N-376,1-N-376,350000,"['Elevator', 'Heating system', 'Furniture']",Yerevan/Small Center/Alek Manukyan Street,105.0,4,7,11,New building,Major overhaul,3.0,2,3,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/1-2-984,1-2-984,180000,['Heating system'],Yerevan/Small Center/Khorenatsi Street 1st Lane,39.0,2,,,Stone,Major overhaul,,1,1,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/1-2-973,1-2-973,370000,"['Elevator', 'Heating system', 'Air conditioning', 'Open balcony']",Yerevan/Small Center/Demirchyan Street,52.0,2,5,9,Stalinka c/o,Major overhaul,2.75,1,1,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/1-N-421,1-N-421,880000,"['Building service', 'Building security', 'Elevator', 'Heating system', 'Air conditioning', 'Open balcony', 'Panorama', 'Kitchen stove', 'Not lived in']",Yerevan/Small Center/Sayat-Nova  Avenue,170.0,4,21,22,New building,Major overhaul,3.0,3,3,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/1-DH-6,1-DH-6,507870,"['Building service', 'Building security', 'Parking', 'Heating system', 'Cooling system', 'Front balcony', 'Panorama', 'Pool', 'Internet']",Yerevan/Small Center/Antarayin Street,188.1,4,3,8,New building,Without renovation,3.0,3,3,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/1-A-64,1-A-64,550000,"['Open balcony', 'Furniture']",Yerevan/Small Center/Antarayin Street,207.0,4,4,9,New building,Major overhaul,3.0,3,3,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/1-N-120,1-N-120,220000,"['Parking', 'Garage', 'Elevator', 'Air conditioning', 'Open balcony', 'Washing machine', 'Kitchen stove', 'Fridge', 'Built-in furniture']",Yerevan/Small Center/Verin Antarain Street,54.0,2,2,18,New building,Major overhaul,3.0,1,1,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/1-A-107,1-A-107,1400000,"['Elevator', 'Heating system', 'Open balcony', 'Terrace', 'Mansard', 'Panorama', 'Dishwasher', 'Kitchen stove', 'Fridge', 'Kitchen furniture']",Yerevan/Small Center/Verin Antarain Street,350.0,5,4,4,New building,Major overhaul,3.0,3,4,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/6-NN1-125,6-NN1-125,64000,"['Parking', 'Heating system', 'Open balcony', 'Washing machine', 'Kitchen stove', 'Fridge']",Yerevan/Nor Nork/Lvovyan Street,32.0,1,4,4,Stone,Major overhaul,2.75,1,,,,,,,,,,,,,,,,,,
