source,webpage,id,price,facilities,location,area,rooms,floor,storeys,building_type,condition,ceiling_height,bathroom_count,bedrooms,added_in_date,view_count,additional_features,latitude,visit_count,utilities,room_details,details,longitude,flooring,entrance_door,construction_type,renovation,windows,heating,parking,cooling
bnakaran,https://www.bnakaran.com/en/apartment-for-sale-in-downtown-yerevan-d114919,d114919,1200000,,,158,3,8,14,,,,,,01.12.2023,,"['new wiring', 'persistent water', 'new water tubes', 'electricity', 'metal door', 'elevator', 'appliances', 'plastic windows', 'sunny', 'natural gas', 'furnished']",44.514613,107,[],"{'rooms': '3', 'bedrooms': '2', 'bathrooms': '3', 'kitchens': '1', 'balconies': '3'}",,40.182121,,metal,in situ concrete,renovated,plastic,centralized,,
bnakaran,https://www.bnakaran.com/en/apartment-for-sale-in-shengavit-yerevan-d117913,d117913,130000,,,85,3,5,5,,,,,,01.12.2023,,"['persistent water', 'electricity', 'metal door', 'built-in wardrobes', 'kitchen tiled', 'appliances', 'bathroom tiled', 'plastic windows', 'natural gas', 'kitchen furniture', 'internet', 'furnished']",44.482444305557,64,[],"{'rooms': '3', 'bedrooms': '1', 'bathrooms': '1', 'kitchens': '1', 'balconies': '1'}",,40.152102284194,,metal,stone,renovated,plastic,gas boiler,,
bnakaran,https://www.bnakaran.com/en/apartment-for-sale-in-davtashen-yerevan-d117390,d117390,143000,,,77,3,2,9,,,,,,01.12.2023,,"['new wiring', 'persistent water', 'new water tubes', 'electricity', 'laminatе flooring', 'metal door', 'refrigerator', 'elevator', 'kitchen tiled', 'appliances', 'bathroom tiled', 'plastic windows', 'washing machine', 'sunny', 'natural gas', 'kitchen furniture', 'furnished', 'bathtub']",44.487247283293,357,[],"{'rooms': '3', 'bedrooms': '2', 'bathrooms': '1', 'kitchens': '1', 'storage rooms': '1'}",,40.221408669649,laminate,metal,wall building,"renovated, uninhabited",plastic,gas boiler,outdoor,
bnakaran,https://www.bnakaran.com/en/apartment-in-new-building-for-sale-in-arabkir-yerevan-d103247,d103247,340000,,,150,4,3,18,,,,,,01.12.2023,,"['new wiring', 'persistent water', 'hardwood flooring', 'new water tubes', 'electricity', 'metal door', 'intercom', 'sec. sys.', 'elevator', 'built-in wardrobes', 'kitchen tiled', 'appliances', 'bathroom tiled', 'plastic windows', 'natural gas', 'kitchen furniture', 'internet', 'furnished']",44.516460324081,137,[],"{'rooms': '4', 'bedrooms': '3', 'bathrooms': '2', 'kitchens': '1', 'balconies': '2'}",,40.203668475571,hardwood,metal,in situ concrete,renovated,plastic,gas boiler,,
bnakaran,https://www.bnakaran.com/en/apartment-for-sale-in-downtown-yerevan-d114919,d114919,1200000,,,158,3,8,14,,,,,,01.12.2023,,"['new wiring', 'persistent water', 'new water tubes', 'electricity', 'metal door', 'elevator', 'appliances', 'plastic windows', 'sunny', 'natural gas', 'furnished']",44.514613,107,[],"{'rooms': '3', 'bedrooms': '2', 'bathrooms': '3', 'kitchens': '1', 'balconies': '3'}",,40.182121,,metal,in situ concrete,renovated,plastic,centralized,,
bnakaran,https://www.bnakaran.com/en/apartment-for-sale-in-kanaker-zeytun-yerevan-d117898,d117898,95000,,,45,2,9,9,,,,,,30.11.2023,,"['new wiring', 'persistent water', 'electricity', 'laminatе flooring', 'metal door', 'intercom', 'elevator', 'kitchen tiled', 'bathroom tiled', 'plastic windows', 'sunny', 'natural gas', 'kitchen furniture']",44.52404023677,73,[],"{'rooms': '2', 'bedrooms': '1', 'bathrooms': '1', 'kitchens': '1'}",,40.201478401927,laminate,metal,wall building,"renovated, uninhabited",plastic,,outdoor,
bnakaran,https://www.bnakaran.com/en/apartment-for-sale-in-downtown-yerevan-d116568,d116568,290000,,,91,3,3,5,Stalin,,,,,30.11.2023,,"['air conditioner', 'persistent water', 'hardwood flooring', 'electricity', 'metal door', 'open balcony', 'built-in wardrobes', 'air conditioner', 'kitchen tiled', 'bathroom tiled', 'plastic windows', 'exclusive design', 'sunny', 'natural gas']",44.503936191663,133,[],"{'rooms': '3', 'bedrooms': '2', 'kitchens': '1', 'balconies': '1'}",,40.177470391035,hardwood,metal,stone,renovated,plastic,gas boiler,,air conditioner
bnakaran,https://www.bnakaran.com/en/apartment-in-new-building-for-sale-in-downtown-yerevan-d116762,d116762,230000,,,39,2,3,22,special,,,,,30.11.2023,,"['new wiring', 'persistent water', 'new water tubes', 'electricity', 'laminatе flooring', 'metal door', 'refrigerator', 'elevator', 'LED TV', 'appliances', 'bathroom tiled', 'plastic windows', 'washing machine', 'sunny', 'natural gas', 'kitchen furniture', 'furnished']",44.509842,198,[],"{'rooms': '2', 'bedrooms': '1', 'bathrooms': '1', 'kitchens': '1'}",,40.18046,laminate,metal,in situ concrete,renovated,plastic,centralized,outdoor,
bnakaran,https://www.bnakaran.com/en/apartment-for-sale-in-shengavit-yerevan-d116950,d116950,110000,,,98,3,4,4,Stalin,,,,,01.12.2023,,"['persistent water', 'electricity', 'metal door', 'built-in wardrobes', 'kitchen tiled', 'appliances', 'bathroom tiled', 'plastic windows', 'natural gas', 'kitchen furniture', 'furnished']",44.512879,168,[],"{'rooms': '3', 'bedrooms': '2', 'bathrooms': '1', 'kitchens': '1', 'balconies': '1'}",,40.17787,,metal,stone,renovated,plastic,gas boiler,,
bnakaran,https://www.bnakaran.com/en/apartment-for-sale-in-center-yerevan-d97802,d97802,145000,,,72,3,5,10,,,,,,30.11.2023,,"['air conditioner', 'new wiring', 'persistent water', 'hardwood flooring', 'electricity', 'cable TV', 'Wi-Fi', 'internet', 'satellite TV', 'open balcony', 'elevator', 'built-in wardrobes', 'LED TV', 'air conditioner', 'kitchen tiled', 'appliances', 'bathroom tiled', 'plastic windows', 'sunny', 'natural gas', 'kitchen furniture', 'internet', 'furnished']",44.515729903375,216,[],"{'rooms': '3', 'bedrooms': '2', 'bathrooms': '1', 'kitchens': '1', 'balconies': '1'}",,40.168955491541,hardwood,,wall building,renovated,plastic,gas boiler,,air conditioner
