source,id,price,area,rooms,floor,storeys,bathroom_count,new_building,F_Furniture,F_Security,F_Air Conditioner,F_Balcony,F_Heating System,F_Internet,F_Elevator,building_type_Monolit,building_type_Panel,building_type_Stone,condition_Good Condition,condition_Needs Renovation/Repair,condition_New/Excellent Condition,coordinates,SL_opera,SL_zvartnoc,SL_central_cemetery,SL_baghramyan_subway,SL_shengavit_subway,L_pharmacy,L_atm,L_parking,L_clinic,L_place_of_worship,L_university,L_kindergarten,L_hospital
bars,4-3-1430,130000.0,60.5,2.0,3.0,13.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"(40.19855807840442, 44.50384769146143)",1691,10176,6088,867,6157,5,5,2,1,0,0,0,0
bars,4-3-1430.1,215000.0,96.1,3.0,4.0,13.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"(40.19855807840442, 44.50384769146143)",1691,10176,6088,867,6157,5,5,2,1,0,0,0,0
bars,1-N-432,560000.0,156.4,4.0,9.0,17.0,2.0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,"(40.21673211791397, 44.583870697678144)",6767,17145,8266,7951,11537,7,11,2,0,0,0,0,0
bars,1-N-429,410000.0,75.0,3.0,3.0,12.0,2.0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,"(40.1832187, 44.50449735)",951,9481,4641,1805,4544,1,7,6,3,1,1,1,0
bars,1-A-118,420000.0,138.0,4.0,3.0,5.0,2.0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,"(40.19590302536037, 44.51228432718437)",1126,10663,5501,1578,6098,0,1,4,0,0,1,0,0
bars,1-3-2096,339000.0,100.0,3.0,2.0,6.0,1.0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,"(40.177015330930764, 44.519048808509375)",1054,10441,3367,3108,4549,7,10,10,1,0,0,0,0
bars,1-A-123,500000.0,107.0,3.0,5.0,7.0,2.0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,"(40.19590302536037, 44.51228432718437)",1126,10663,5501,1578,6098,0,1,4,0,0,1,0,0
bars,1-N-403,520000.0,121.0,3.0,6.0,21.0,1.0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,"(40.21673211791397, 44.583870697678144)",6767,17145,8266,7951,11537,7,11,2,0,0,0,0,0
bars,1-3-1721,225000.0000000001,101.0,3.0,6.0,5.0,1.0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,"(40.187096641397815, 44.51808492499669)",282,10714,4406,2352,5431,6,21,2,0,1,2,1,2
bars,1-N-433,985000.0,206.0,4.0,20.0,23.0,3.0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,"(40.177015330930764, 44.519048808509375)",1054,10441,3367,3108,4549,7,10,10,1,0,0,0,0
bars,6-NM3-7,170000.0,100.0,3.0,6.0,10.0,2.0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,"(40.19046429667407, 44.552282393219535)",3198,13576,4554,5025,7583,0,0,0,0,0,0,0,0
bars,4-3-1433,225000.0,125.0,3.0,6.0,16.0,2.0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,"(40.20625843913501, 44.52473536231635)",2396,12140,6283,2813,7578,1,5,8,0,2,0,3,0
bars,4-3-1434,295000.0,105.0,3.0,3.0,5.0,2.0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,"(40.20625843913501, 44.52473536231635)",2396,12140,6283,2813,7578,1,5,8,0,2,0,3,0
bars,4-3-1431,160000.0,95.0,3.0,4.0,5.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,"(40.20625843913501, 44.52473536231635)",2396,12140,6283,2813,7578,1,5,8,0,2,0,3,0
bars,1-2-991,290000.0,55.0,2.0,1.0,5.0,1.0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,"(40.183781674798254, 44.505052000470215)",887,9548,4660,1776,4619,3,6,6,2,1,1,2,0
bars,4-2-201,135000.0,55.3,2.0,11.0,13.0,1.0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,"(40.20625843913501, 44.52473536231635)",2396,12140,6283,2813,7578,1,5,8,0,2,0,3,0
bars,1-B-97,450000.0,84.6,2.0,4.0,16.0,1.0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,"(40.199176396159615, 44.55827345658594)",3949,14382,5625,5481,8617,3,1,1,0,0,0,2,0
bars,4-3-1432,205000.0,64.0,3.0,8.0,14.0,1.0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,"(40.20625843913501, 44.52473536231635)",2396,12140,6283,2813,7578,1,5,8,0,2,0,3,0
bars,1-B-128,950000.0,174.0,4.0,5.0,15.0,2.0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,"(40.199176396159615, 44.55827345658594)",3949,14382,5625,5481,8617,3,1,1,0,0,0,2,0
bars,4-3-1412,220000.0,90.0,3.0,2.0,5.0,1.0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,"(40.19502146089586, 44.48842560030741)",2477,8852,6524,517,5575,6,4,4,0,0,4,0,1
bars,1-2-990,250000.0,50.0,2.0,2.0,5.0,1.0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,"(40.18607885, 44.5215976)",552,10953,4189,2668,5493,7,25,3,0,2,4,1,4
bars,4-3-1181,159999.99999999997,91.0,4.0,3.0,5.0,1.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"(40.20625843913501, 44.52473536231635)",2396,12140,6283,2813,7578,1,5,8,0,2,0,3,0
bars,1-3-1912,120000.0,85.0,3.0,2.0,4.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,"(40.15477242139723, 44.45609932611657)",6097,4733,7051,5705,2755,0,0,0,0,0,0,0,0
bars,1-3-2133,606000.0,220.0,5.0,5.0,6.0,3.0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,"(40.21711810886293, 44.5776738850503)",6342,16687,8076,7459,11194,7,5,2,0,0,0,3,1
bars,6-NM3-6,400000.0,100.0,3.0,1.0,5.0,2.0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,"(40.15066008382748, 44.47934247499251)",4966,6703,5061,5322,844,7,6,1,1,0,0,3,0
