source,id,price,area,rooms,floor,storeys,bathroom_count,new_building,F_Furniture,F_Security,F_Air Conditioner,F_Balcony,F_Heating System,F_Internet,F_Elevator,building_type_Monolit,building_type_Other,building_type_Panel,building_type_Stone,condition_Good Condition,condition_Needs Renovation/Repair,condition_New/Excellent Condition,condition_Other,coordinates,SL_opera,SL_zvartnoc,SL_dalma,SL_central_cemetery,SL_zeytun_cemetery,SL_baghramyan_subway,SL_shengavit_subway,L_pharmacy,L_atm,L_car_wash,L_waste_disposal,L_parking,L_clinic,L_fuel,L_school,L_place_of_worship,L_music_school,L_university,L_kindergarten,L_bus_station,L_hospital,L_prison,L_stripclub
myrealty,142526,145000.0,95.0,5.0,1.0,3.0,1.0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,"(40.17599452142183, 44.48805998349331)",2551,7893,346,5149,6388,2411,3460,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
myrealty,126568,125000.00000000004,77.0,3.0,7.0,10.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,"(40.20080526689522, 44.52432870986529)",1823,11822,3886,5696,2264,2624,7022,4,3,2,4,5,0,0,4,0,0,0,3,0,0,0,0
bars,1-3-2076,275000.00000000006,90.0,3.0,3.0,5.0,1.0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,"(40.18203709652422, 44.5180200101794)",506,10519,2532,3900,4143,2664,4950,10,31,2,9,13,0,0,2,2,0,0,1,0,1,0,0
myrealty,132575,510000.0,123.0,4.0,5.0,11.0,2.0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,"(40.19013906690871, 44.51548071604492)",461,10637,2602,4805,3600,2005,5623,4,12,0,1,1,1,0,2,0,0,1,3,0,0,0,0
myrealty,128203,180000.00000000003,67.0,2.0,11.0,11.0,1.0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,"(40.1827487881944, 44.5161271042122)",372,10391,2385,4045,4175,2489,4931,3,36,3,6,9,0,0,4,2,0,0,1,0,1,0,0
bnakaran,d117194,135000.0,82.0,4.0,1.0,10.0,1.0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,"(40.16649869, 44.519598)",2202,10243,2993,2395,5586,4061,3739,1,0,5,3,0,0,1,6,1,0,0,2,0,0,0,0
bnakaran,d115764,450000.0,121.0,3.0,5.0,7.0,2.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"(40.183759424275, 44.51592457231)",259,10412,2390,4152,4097,2405,5018,5,37,4,6,10,1,0,5,2,1,0,2,0,1,0,0
bnakaran,d63940,820000.0,222.0,4.0,8.0,16.0,4.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,"(40.18153547, 44.52157246)",741,10789,2826,3721,4023,2936,5078,6,15,3,4,9,0,0,1,0,0,1,1,0,0,0,0
myrealty,142480,860000.0,120.0,3.0,6.0,10.0,2.0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,"(40.17739277146087, 44.51151209195476)",1004,9837,1967,3762,4886,2671,4218,1,15,3,2,12,1,0,3,0,0,0,1,0,0,0,0
bnakaran,d117632,155000.0,80.0,3.0,7.0,16.0,1.0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,"(40.192043307697, 44.503824779097)",1169,9828,1942,5469,4254,1030,5458,3,6,3,5,2,0,1,3,0,0,0,0,0,0,0,0
