source,id,price,area,rooms,floor,storeys,bathroom_count,new_building,F_Furniture,F_Security,F_Air Conditioner,F_Balcony,F_Heating System,F_Internet,F_Elevator,building_type_Monolit,building_type_Other,building_type_Panel,building_type_Stone,condition_Good Condition,condition_Needs Renovation/Repair,condition_New/Excellent Condition,condition_Other,coordinates,SL_opera,SL_zvartnoc,SL_dalma,SL_central_cemetery,SL_zeytun_cemetery,SL_baghramyan_subway,SL_shengavit_subway,L_pharmacy,L_atm,L_car_wash,L_waste_disposal,L_parking,L_clinic,L_fuel,L_school,L_place_of_worship,L_music_school,L_university,L_kindergarten,L_bus_station,L_hospital,L_prison,L_stripclub
myrealty,139464,490000.0,156.0,4.0,4.0,5.0,2.0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,"(40.19493042144863, 44.50523170804844)",1298,10082,2264,5680,3987,1005,5800,0,1,2,4,3,0,0,0,0,0,1,0,0,0,0,0
myrealty,134902,515000.0,105.0,3.0,8.0,14.0,2.0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,"(40.180107053322125, 44.499472776670245)",1479,8960,942,4673,5355,1965,4080,1,6,2,0,7,1,0,2,0,0,0,0,0,2,0,0
bnakaran,d117205,255000.0,148.0,4.0,3.0,5.0,2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"(40.204861, 44.513391)",2102,11231,3562,6390,2911,1868,7064,7,3,4,4,0,0,3,1,0,0,0,1,0,1,0,0
bars,4-3-1377,260000.0,90.0,3.0,4.0,9.0,2.0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,"(40.19625902492543, 44.50164222859443)",1614,9886,2212,5964,4190,676,5864,3,2,4,5,1,1,2,0,0,0,0,0,0,0,0,0
myrealty,138855,286000.0,98.0,4.0,2.0,9.0,2.0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,"(40.17136765837956, 44.51903894845968)",1661,10293,2736,2842,5117,3588,4075,9,7,6,4,3,0,3,6,1,0,2,0,0,0,0,0
bnakaran,d112146,680000.0,120.0,3.0,4.0,16.0,2.0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,"(40.176964332639, 44.515990410064)",1007,10189,2350,3500,4706,2939,4388,7,17,1,7,10,1,0,3,0,1,0,0,1,0,0,0
bnakaran,d117102,2325000.0,300.0,5.0,9.0,10.0,4.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"(40.181182883197, 44.514784661376)",536,10228,2248,3951,4382,2524,4723,5,19,3,4,8,3,0,3,0,1,1,1,0,1,0,0
bnakaran,d115437,493000.0,170.0,4.0,10.0,15.0,2.0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,"(40.19398121247, 44.494605105834)",1953,9241,1735,6100,4839,369,5506,2,6,2,6,2,1,0,1,0,0,0,0,0,2,0,0
bars,2-1-48,145000.0,37.0,1.0,4.0,4.0,1.0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,"(40.1767382062846, 44.51344849450384)",1039,9975,2139,3605,4848,2826,4245,3,19,1,4,13,0,0,3,0,0,1,0,1,0,0,0
myrealty,127576,108000.0,36.0,1.0,4.0,5.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"(40.19855807840442, 44.50384769146143)",1691,10176,2527,6088,3914,867,6157,5,5,4,4,2,1,1,1,0,0,0,0,0,0,0,0
bnakaran,d109151,549000.0,121.0,4.0,5.0,5.0,2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"(40.18919, 44.515646)",357,10608,2567,4703,3663,2061,5535,5,16,1,2,1,1,0,2,0,0,2,3,0,0,0,0
myrealty,140354,330000.0,105.0,3.0,9.0,16.0,2.0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,"(40.19822318396341, 44.49082633472604)",2468,9217,2135,6670,4961,273,5942,10,19,2,8,1,0,0,2,0,0,1,2,0,1,0,0
bars,1-A-122,695000.0,155.0,4.0,4.0,6.0,3.0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,"(40.19493042144863, 44.50523170804844)",1298,10082,2264,5680,3987,1005,5800,0,1,2,4,3,0,0,0,0,0,1,0,0,0,0,0
bars,1-DH-20,555520.0,179.2,5.0,3.0,5.0,2.0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,"(40.19493042144863, 44.50523170804844)",1298,10082,2264,5680,3987,1005,5800,0,1,2,4,3,0,0,0,0,0,1,0,0,0,0,0
myrealty,140918,190000.0,94.0,3.0,2.0,14.0,1.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,"(40.222082400000005, 44.5388218)",4489,14080,6413,7926,1240,4718,9688,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0
myrealty,142666,220000.0,90.0,3.0,5.0,10.0,1.0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,"(40.19625902492543, 44.50164222859443)",1614,9886,2212,5964,4190,676,5864,3,2,4,5,1,1,2,0,0,0,0,0,0,0,0,0
myrealty,137953,1650000.0,235.0,5.0,4.0,9.0,5.0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,"(40.17743184144194, 44.517821617617976)",980,10353,2501,3460,4579,3003,4522,9,12,2,6,8,1,0,1,0,0,0,1,1,0,0,0
myrealty,142715,130000.0,80.0,1.0,7.0,11.0,3.0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,"(40.187316, 44.58217085)",5700,15919,8013,5477,4140,7588,9445,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
bars,1-3-1958,380000.0,100.0,3.0,3.0,4.0,1.0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,"(40.18161375666288, 44.51642634119875)",500,10375,2392,3922,4260,2592,4837,5,31,3,6,10,0,0,2,2,0,0,1,0,0,0,0
myrealty,124009,205000.0,173.0,4.0,3.0,5.0,2.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"(40.200767144092175, 44.55833520806485)",4023,14452,6405,5796,1658,5496,8746,1,1,1,0,2,0,1,1,0,0,0,1,0,0,0,0
bnakaran,d116209,300000.0,90.0,3.0,2.0,5.0,2.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,"(40.177126250799, 44.502601697035)",1448,9104,1221,4252,5398,2358,3854,9,9,0,0,6,1,0,2,2,0,0,1,0,0,0,0
bnakaran,d103049,445000.0,106.0,4.0,13.0,16.0,2.0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,"(40.183092, 44.506465)",800,9632,1592,4526,4695,1906,4592,3,11,4,3,6,6,1,2,1,1,1,4,0,3,0,0
myrealty,126826,93000.0,78.0,2.0,4.0,4.0,1.0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,"(40.19046429667407, 44.552282393219535)",3198,13576,5566,4554,2498,5025,7583,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
bnakaran,d117792,310000.0,100.0,3.0,4.0,4.0,2.0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,"(40.176616812959, 44.519033305557)",1095,10428,2612,3330,4604,3140,4514,5,11,1,4,9,1,0,2,0,1,1,0,1,0,0,0
bnakaran,d105437,165000.0,170.0,6.0,5.0,5.0,2.0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,"(40.192256, 44.561055)",3965,14346,6337,4979,2575,5740,8279,0,1,1,1,3,0,1,0,0,0,0,1,0,3,0,0
bnakaran,d111383,155000.0,130.0,4.0,4.0,5.0,2.0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,"(40.199857018654, 44.525986305557)",1797,11900,3935,5564,2215,2750,6996,4,1,1,3,5,1,0,3,0,0,0,3,0,0,0,0
bars,4-3-1399,118000.00000000004,65.0,3.0,4.0,9.0,1.0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,"(40.199176396159615, 44.55827345658594)",3949,14382,6336,5625,1797,5481,8617,3,1,0,0,1,0,0,1,0,0,0,2,0,0,0,0
myrealty,125725,264000.0,106.0,4.0,6.0,6.0,2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"(40.21673211791397, 44.583870697678144)",6767,17145,9120,8266,3233,7951,11537,7,11,2,0,2,0,1,1,0,0,0,0,0,0,0,0
myrealty,142387,155000.0,62.0,2.0,3.0,5.0,1.0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,"(40.19502146089586, 44.48842560030741)",2477,8852,1770,6524,5275,517,5575,6,4,2,15,4,0,0,2,0,0,4,0,0,1,0,0
myrealty,126469,272000.0,55.0,2.0,5.0,6.0,1.0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,1,0,"(40.1861605885798, 44.514048989347714)",90,10356,2311,4463,4000,2117,5174,9,32,1,4,4,2,0,2,0,0,2,1,0,1,0,0
myrealty,123214,325000.00000000006,140.0,4.0,7.0,10.0,2.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"(40.177015330930764, 44.519048808509375)",1054,10441,2609,3367,4565,3108,4549,7,10,2,5,10,1,0,2,0,1,0,0,1,0,0,0
bars,4-3-1432,205000.0,64.0,3.0,8.0,14.0,1.0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,"(40.20625843913501, 44.52473536231635)",2396,12140,4314,6283,1948,2813,7578,1,5,1,1,8,0,2,0,2,1,0,3,0,0,0,0
myrealty,138349,140000.0,65.0,2.0,3.0,5.0,1.0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,"(40.15066923296988, 44.48391940382059)",4738,7092,3184,4672,8671,5245,660,18,13,4,5,3,2,0,5,0,0,0,1,0,1,0,0
bars,6-NN1-125,64000.0,32.0,1.0,4.0,4.0,1.0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,"(40.200767144092175, 44.55833520806485)",4023,14452,6405,5796,1658,5496,8746,1,1,1,0,2,0,1,1,0,0,0,1,0,0,0,0
myrealty,138467,145000.0,83.0,3.0,3.0,5.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"(40.20625843913501, 44.52473536231635)",2396,12140,4314,6283,1948,2813,7578,1,5,1,1,8,0,2,0,2,1,0,3,0,0,0,0
myrealty,129910,400000.0,139.0,4.0,4.0,10.0,2.0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,"(40.21673211791397, 44.583870697678144)",6767,17145,9120,8266,3233,7951,11537,7,11,2,0,2,0,1,1,0,0,0,0,0,0,0,0
bars,4-3-1428,156000.0,84.0,3.0,8.0,14.0,1.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,"(40.19366433254226, 44.491346750379165)",2189,8985,1637,6248,5105,448,5440,6,1,2,11,3,1,0,2,0,0,1,0,0,2,0,0
myrealty,139852,300000.0,85.0,3.0,10.0,11.0,1.0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,"(40.182206184659805, 44.51166722152143)",512,10014,2001,4189,4462,2259,4691,10,16,6,5,5,4,0,4,0,1,1,5,0,4,0,0
bnakaran,d102965,115000.0,67.0,3.0,9.0,9.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,"(40.204333639776, 44.523599880951)",2162,11952,4096,6092,2120,2652,7344,5,7,1,3,6,1,2,1,2,0,0,2,0,0,0,0
