SL_opera,SL_zvartnoc,SL_central_cemetery,SL_baghramyan_subway,SL_shengavit_subway
506,10519,3900,2664,4950
4174,7456,4330,4766,1093
2396,12140,6283,2813,7578
873,11204,3964,3006,5566
2396,12140,6283,2813,7578
5232,7174,4673,5840,127
2396,12140,6283,2813,7578
2588,10091,6976,902,6740
1509,10414,2939,3501,4261
4489,14080,7926,4718,9688
3807,10203,8195,1905,7691
951,9481,4641,1805,4544
3807,10203,8195,1905,7691
90,10356,4463,2117,5174
5700,15919,5477,7588,9445
1903,10709,6291,1351,6658
4738,7092,4672,5245,660
1479,8960,4673,1965,4080
1492,9500,5686,746,5372
2396,12140,6283,2813,7578
5232,7174,4673,5840,127
2647,9107,6824,457,5991
4738,7092,4672,5245,660
2197,9843,2666,3885,3422
2154,8949,6183,518,5360
1509,10414,2939,3501,4261
1864,11551,5968,2266,7006
1054,10441,3367,3108,4549
2396,12140,6283,2813,7578
1145,10380,3295,3162,4445
5331,8033,3986,6266,812
2098,9864,6455,497,6211
5232,7174,4673,5840,127
2396,12140,6283,2813,7578
5432,5016,7184,4685,3409
970,9913,3727,2703,4269
5432,5016,7184,4685,3409
90,10356,4463,2117,5174
887,9548,4660,1776,4619
2468,9217,6670,273,5942
1298,10082,5680,1005,5800
1864,11551,5968,2266,7006
666,9774,4627,1807,4793
1034,10544,3373,3132,4650
423,10255,4053,2438,4815
980,10353,3460,3003,4522
4489,14080,7926,4718,9688
6342,16687,8076,7459,11194
1890,12020,5579,2869,7086
5261,15685,6740,6643,9945
4441,11339,8833,2904,8759
2756,11154,7109,1863,7489
500,10375,3922,2592,4837
873,11204,3964,3006,5566
2197,9843,2666,3885,3422
1519,11397,5620,2219,6688
4489,14080,7926,4718,9688
2647,9107,6824,457,5991
3120,7956,6795,1417,5190
1614,9886,5964,676,5864
2154,8949,6183,518,5360
1298,10082,5680,1005,5800
1919,10193,6317,830,6332
2396,12140,6283,2813,7578
2588,10091,6976,902,6740
2588,10091,6976,902,6740
1298,10082,5680,1005,5800
1054,10441,3367,3108,4549
2463,10068,6850,815,6633
4228,7789,8057,2162,6227
2396,12140,6283,2813,7578
1890,12020,5579,2869,7086
2197,9843,2666,3885,3422
2678,11229,7014,1908,7471
2756,11154,7109,1863,7489
904,11312,4614,2653,6023
970,9913,3727,2703,4269
1054,10441,3367,3108,4549
2396,12140,6283,2813,7578
1903,10709,6291,1351,6658
1864,11551,5968,2266,7006
3832,8701,7951,1636,6656
926,9719,3997,2441,4274
2756,11154,7109,1863,7489
1298,10082,5680,1005,5800
6767,17145,8266,7951,11537
1039,9975,3605,2826,4245
5232,7174,4673,5840,127
2678,11229,7014,1908,7471
2039,11580,6172,2253,7152
873,11204,3964,3006,5566
2197,9843,2666,3885,3422
3120,7956,6795,1417,5190
4966,6703,5061,5322,844
980,10353,3460,3003,4522
2197,9843,2666,3885,3422
2396,12140,6283,2813,7578
1864,11551,5968,2266,7006
4489,14080,7926,4718,9688
4061,7197,7550,2292,5408
1903,10709,6291,1351,6658
2197,9843,2666,3885,3422
1145,10380,3295,3162,4445
1145,10380,3295,3162,4445
1014,9991,5360,1195,5503
2396,12140,6283,2813,7578
1298,10082,5680,1005,5800
2756,11154,7109,1863,7489
2743,11632,6981,2284,7695
2647,9107,6824,457,5991
6703,3944,8931,5440,5143
2678,11229,7014,1908,7471
3807,10203,8195,1905,7691
461,10637,4805,2005,5623
1298,10082,5680,1005,5800
6767,17145,8266,7951,11537
3832,8701,7951,1636,6656
3640,8968,7827,1442,6710
5432,5016,7184,4685,3409
1446,11125,3073,3634,5017
2154,8949,6183,518,5360
1446,11125,3073,3634,5017
2588,10091,6976,902,6740
3198,13576,4554,5025,7583
666,9774,4627,1807,4793
748,11180,4429,2664,5814
1602,9136,3946,2697,3615
2396,12140,6283,2813,7578
2468,9217,6670,273,5942
2795,7706,5876,1978,4086
3372,11833,1233,5506,4909
3832,8701,7951,1636,6656
904,11312,4614,2653,6023
1571,11452,5649,2264,6744
2197,9843,2666,3885,3422
1602,9136,3946,2697,3615
2396,12140,6283,2813,7578
1864,11551,5968,2266,7006
6767,17145,8266,7951,11537
2358,12253,6125,2960,7556
951,9481,4641,1805,4544
3807,10203,8195,1905,7691
887,9548,4660,1776,4619
4221,7485,7913,2257,5923
5232,7174,4673,5840,127
2678,11229,7014,1908,7471
5232,7174,4673,5840,127
1004,9837,3762,2671,4218
6400,16649,6134,8242,10168
6400,16649,6134,8242,10168
5432,5016,7184,4685,3409
2098,9864,6455,497,6211
1054,10441,3367,3108,4549
2396,12140,6283,2813,7578
4441,11339,8833,2904,8759
5232,7174,4673,5840,127
4510,6769,7871,2767,5465
512,10014,4189,2259,4691
1054,10441,3367,3108,4549
951,9481,4641,1805,4544
970,9913,3727,2703,4269
887,9548,4660,1776,4619
970,9913,3727,2703,4269
2591,12602,6143,3324,7788
1890,12020,5579,2869,7086
666,9774,4627,1807,4793
2588,10091,6976,902,6740
1919,10193,6317,830,6332
5232,7174,4673,5840,127
2588,10091,6976,902,6740
1479,8960,4673,1965,4080
1479,8960,4673,1965,4080
1289,9805,5593,912,5532
2795,7706,5876,1978,4086
2591,12602,6143,3324,7788
2784,13188,5331,4217,7718
2784,13188,5331,4217,7718
1919,10193,6317,830,6332
2743,11632,6981,2284,7695
1479,8960,4673,1965,4080
2396,12140,6283,2813,7578
2152,8406,4509,2596,3322
785,10024,5118,1414,5355
2974,10487,7379,1431,7271
1615,10029,3021,3422,3900
1509,10414,2939,3501,4261
1509,10414,2939,3501,4261
1298,10082,5680,1005,5800
2098,9864,6455,497,6211
785,10024,5118,1414,5355
90,10356,4463,2117,5174
2154,8949,6183,518,5360
710,10473,5110,1674,5698
2591,12602,6143,3324,7788
980,10353,3460,3003,4522
2881,9606,7201,809,6604
1446,11125,3073,3634,5017
4319,9525,8621,2190,7638
4319,9525,8621,2190,7638
90,10356,4463,2117,5174
785,10024,5118,1414,5355
3740,8136,7653,1656,6075
1858,9844,6206,515,6014
5232,7174,4673,5840,127
3372,11833,1233,5506,4909
1509,10414,2939,3501,4261
1492,9500,5686,746,5372
5331,8033,3986,6266,812
2545,12243,6419,2901,7725
887,9548,4660,1776,4619
2129,10127,2522,3947,3680
4716,5715,6791,3927,3443
5432,5016,7184,4685,3409
2197,9843,2666,3885,3422
1890,12020,5579,2869,7086
2484,9876,2431,4174,3287
1661,10293,2842,3588,4075
710,10473,5110,1674,5698
1919,10193,6317,830,6332
1312,10442,3119,3337,4398
4994,5515,7398,3895,4130
1312,10442,3119,3337,4398
90,10356,4463,2117,5174
1039,9975,3605,2826,4245
2396,12140,6283,2813,7578
1042,9845,5331,1159,5370
4319,9525,8621,2190,7638
4441,11339,8833,2904,8759
5976,16213,8135,6911,10972
6470,16624,8726,7284,11512
1691,10176,6088,867,6157
2678,11229,7014,1908,7471
2197,9843,2666,3885,3422
2974,10487,7379,1431,7271
2756,11154,7109,1863,7489
5347,6813,5015,5816,491
2039,11580,6172,2253,7152
1298,10082,5680,1005,5800
4489,14080,7926,4718,9688
461,10637,4805,2005,5623
4228,7789,8057,2162,6227
980,10353,3460,3003,4522
2396,12140,6283,2813,7578
4994,5515,7398,3895,4130
1298,10082,5680,1005,5800
1054,10441,3367,3108,4549
1054,10441,3367,3108,4549
1054,10441,3367,3108,4549
4489,14080,7926,4718,9688
3372,11833,1233,5506,4909
407,10067,4285,2178,4806
5347,6813,5015,5816,491
423,10255,4053,2438,4815
1054,10441,3367,3108,4549
5432,5016,7184,4685,3409
2627,12991,5448,3953,7652
407,10067,4285,2178,4806
2396,12140,6283,2813,7578
4174,7456,4330,4766,1093
1864,11551,5968,2266,7006
4966,6703,5061,5322,844
1903,10709,6291,1351,6658
5232,7174,4673,5840,127
512,10014,4189,2259,4691
90,10356,4463,2117,5174
4994,5515,7398,3895,4130
2974,10487,7379,1431,7271
455,10277,4847,1759,5368
873,11204,3964,3006,5566
1039,9975,3605,2826,4245
5232,7174,4673,5840,127
980,10353,3460,3003,4522
407,10067,4285,2178,4806
2974,10487,7379,1431,7271
4713,5760,6488,4136,2997
1858,9844,6206,515,6014
2463,10068,6850,815,6633
907,10620,5284,1668,5923
282,10714,4406,2352,5431
1145,10380,3295,3162,4445
1145,10380,3295,3162,4445
2250,11047,6596,1680,7081
1298,10082,5680,1005,5800
5232,7174,4673,5840,127
2468,9217,6670,273,5942
2595,9932,2311,4302,3275
506,10519,3900,2664,4950
407,10067,4285,2178,4806
423,10255,4053,2438,4815
2678,11229,7014,1908,7471
1919,10193,6317,830,6332
1864,11551,5968,2266,7006
2098,9864,6455,497,6211
2197,9843,2666,3885,3422
1615,10029,3021,3422,3900
5331,8033,3986,6266,812
1509,10414,2939,3501,4261
3372,11833,1233,5506,4909
5331,8033,3986,6266,812
2154,8949,6183,518,5360
2189,8985,6248,448,5440
1864,11551,5968,2266,7006
5171,11284,1174,7023,3984
3372,11833,1233,5506,4909
1145,10380,3295,3162,4445
926,9719,3997,2441,4274
1289,9805,5593,912,5532
2756,11154,7109,1863,7489
2756,11154,7109,1863,7489
5432,5016,7184,4685,3409
6767,17145,8266,7951,11537
887,9548,4660,1776,4619
4221,7485,7913,2257,5923
970,9913,3727,2703,4269
1014,9991,5360,1195,5503
90,10356,4463,2117,5174
1289,9805,5593,912,5532
2250,11047,6596,1680,7081
926,9719,3997,2441,4274
6470,16624,8726,7284,11512
1416,10107,5803,945,5906
4994,5515,7398,3895,4130
2396,12140,6283,2813,7578
4221,7485,7913,2257,5923
2358,12253,6125,2960,7556
1145,10380,3295,3162,4445
500,10375,3922,2592,4837
2678,11229,7014,1908,7471
3461,10164,7850,1594,7419
2678,11229,7014,1908,7471
512,10014,4189,2259,4691
2477,8852,6524,517,5575
1903,10709,6291,1351,6658
2477,8852,6524,517,5575
423,10255,4053,2438,4815
2172,10431,2330,4103,3922
1479,8960,4673,1965,4080
1145,10380,3295,3162,4445
907,10620,5284,1668,5923
2588,10091,6976,902,6740
666,9774,4627,1807,4793
6400,16649,6134,8242,10168
1624,9575,3379,3148,3643
407,10067,4285,2178,4806
9774,11076,6349,11098,5583
3975,9311,2454,5382,2145
1054,10441,3367,3108,4549
2468,9217,6670,273,5942
1298,10082,5680,1005,5800
907,10620,5284,1668,5923
500,10375,3922,2592,4837
458,10522,4847,1899,5561
506,10519,3900,2664,4950
407,10067,4285,2178,4806
5232,7174,4673,5840,127
407,10067,4285,2178,4806
506,10519,3900,2664,4950
887,9548,4660,1776,4619
461,10637,4805,2005,5623
2588,10091,6976,902,6740
3740,8136,7653,1656,6075
2468,9217,6670,273,5942
4228,7789,8057,2162,6227
4302,14251,7391,4896,9480
458,10522,4847,1899,5561
1615,10029,3021,3422,3900
887,9548,4660,1776,4619
90,10356,4463,2117,5174
1479,8960,4673,1965,4080
1145,10380,3295,3162,4445
2743,11632,6981,2284,7695
1054,10441,3367,3108,4549
887,9548,4660,1776,4619
5232,7174,4673,5840,127
552,10953,4189,2668,5493
5347,6813,5015,5816,491
1691,10176,6088,867,6157
5232,7174,4673,5840,127
2197,9843,2666,3885,3422
4221,7485,7913,2257,5923
1493,9025,4353,2287,3860
1571,11452,5649,2264,6744
2477,8852,6524,517,5575
506,10519,3900,2664,4950
1614,9886,5964,676,5864
1571,11452,5649,2264,6744
785,10024,5118,1414,5355
970,9913,3727,2703,4269
3807,10203,8195,1905,7691
887,9548,4660,1776,4619
2039,11580,6172,2253,7152
1145,10380,3295,3162,4445
552,10953,4189,2668,5493
3198,13576,4554,5025,7583
3198,13576,4554,5025,7583
1858,9844,6206,515,6014
1509,10414,2939,3501,4261
1298,10082,5680,1005,5800
1823,11822,5696,2624,7022
1864,11551,5968,2266,7006
1864,11551,5968,2266,7006
2795,7706,5876,1978,4086
1661,10293,2842,3588,4075
506,10519,3900,2664,4950
90,10356,4463,2117,5174
1312,10442,3119,3337,4398
2396,12140,6283,2813,7578
512,10014,4189,2259,4691
3640,8968,7827,1442,6710
904,11312,4614,2653,6023
7971,4337,10812,6244,7277
4489,14080,7926,4718,9688
873,11204,3964,3006,5566
2154,8949,6183,518,5360
1571,11452,5649,2264,6744
512,10014,4189,2259,4691
1725,9667,6020,490,5750
2647,9107,6824,457,5991
4117,10985,778,6009,3785
2477,8852,6524,517,5575
3832,8701,7951,1636,6656
4319,9525,8621,2190,7638
970,9913,3727,2703,4269
5432,5016,7184,4685,3409
3832,8701,7951,1636,6656
1247,9700,3635,2825,3981
1054,10441,3367,3108,4549
951,9481,4641,1805,4544
951,9481,4641,1805,4544
1858,9844,6206,515,6014
5232,7174,4673,5840,127
6767,17145,8266,7951,11537
1446,11125,3073,3634,5017
2588,10091,6976,902,6740
3807,10203,8195,1905,7691
1145,10380,3295,3162,4445
90,10356,4463,2117,5174
1054,10441,3367,3108,4549
5331,8033,3986,6266,812
2396,12140,6283,2813,7578
2396,12140,6283,2813,7578
887,9548,4660,1776,4619
3807,10203,8195,1905,7691
2197,9843,2666,3885,3422
1624,9575,3379,3148,3643
2143,9774,2763,3800,3404
2484,9876,2431,4174,3287
2154,8949,6183,518,5360
904,11312,4614,2653,6023
1509,10414,2939,3501,4261
461,10637,4805,2005,5623
2129,10127,2522,3947,3680
2098,9864,6455,497,6211
4221,7485,7913,2257,5923
6767,17145,8266,7951,11537
980,10353,3460,3003,4522
407,10067,4285,2178,4806
666,9774,4627,1807,4793
1614,9886,5964,676,5864
4510,6769,7871,2767,5465
3832,8701,7951,1636,6656
904,11312,4614,2653,6023
951,9481,4641,1805,4544
1624,9575,3379,3148,3643
1039,9975,3605,2826,4245
2743,11632,6981,2284,7695
1042,9845,5331,1159,5370
1145,10380,3295,3162,4445
2974,10487,7379,1431,7271
2678,11229,7014,1908,7471
2678,11229,7014,1908,7471
1725,9667,6020,490,5750
904,11312,4614,2653,6023
2039,11580,6172,2253,7152
2678,11229,7014,1908,7471
1602,9136,3946,2697,3615
90,10356,4463,2117,5174
1054,10441,3367,3108,4549
2250,11047,6596,1680,7081
887,9548,4660,1776,4619
1614,9886,5964,676,5864
1519,11397,5620,2219,6688
1571,11452,5649,2264,6744
2250,11047,6596,1680,7081
2250,11047,6596,1680,7081
4133,6326,6613,3219,3745
2974,10487,7379,1431,7271
1624,9575,3379,3148,3643
1479,8960,4673,1965,4080
1725,9667,6020,490,5750
1145,10380,3295,3162,4445
904,11312,4614,2653,6023
2098,9864,6455,497,6211
2396,12140,6283,2813,7578
90,10356,4463,2117,5174
1135,9883,5454,1066,5489
5232,7174,4673,5840,127
2250,11047,6596,1680,7081
500,10375,3922,2592,4837
500,10375,3922,2592,4837
4023,14452,5796,5496,8746
1571,11452,5649,2264,6744
4023,14452,5796,5496,8746
1479,8960,4673,1965,4080
90,10356,4463,2117,5174
1509,10414,2939,3501,4261
1312,10442,3119,3337,4398
1054,10441,3367,3108,4549
2197,9843,2666,3885,3422
1054,10441,3367,3108,4549
4221,7485,7913,2257,5923
970,9913,3727,2703,4269
90,10356,4463,2117,5174
2974,10487,7379,1431,7271
2477,8852,6524,517,5575
926,9719,3997,2441,4274
6691,8198,10688,4499,8631
5232,7174,4673,5840,127
1492,9500,5686,746,5372
6767,17145,8266,7951,11537
873,11204,3964,3006,5566
90,10356,4463,2117,5174
512,10014,4189,2259,4691
2396,12140,6283,2813,7578
4221,7485,7913,2257,5923
90,10356,4463,2117,5174
887,9548,4660,1776,4619
461,10637,4805,2005,5623
407,10067,4285,2178,4806
951,9481,4641,1805,4544
512,10014,4189,2259,4691
506,10519,3900,2664,4950
1312,10442,3119,3337,4398
1509,10414,2939,3501,4261
1479,8960,4673,1965,4080
6767,17145,8266,7951,11537
970,9913,3727,2703,4269
1054,10441,3367,3108,4549
2795,7706,5876,1978,4086
6767,17145,8266,7951,11537
904,11312,4614,2653,6023
9841,11000,6456,11143,5593
90,10356,4463,2117,5174
2197,9843,2666,3885,3422
951,9481,4641,1805,4544
90,10356,4463,2117,5174
1479,8960,4673,1965,4080
2974,10487,7379,1431,7271
4221,7485,7913,2257,5923
6767,17145,8266,7951,11537
873,11204,3964,3006,5566
5976,16213,8135,6911,10972
4221,7485,7913,2257,5923
2396,12140,6283,2813,7578
2678,11229,7014,1908,7471
10345,11121,6985,11613,5999
6767,17145,8266,7951,11537
1624,9575,3379,3148,3643
407,10067,4285,2178,4806
2396,12140,6283,2813,7578
512,10014,4189,2259,4691
3372,11833,1233,5506,4909
2396,12140,6283,2813,7578
407,10067,4285,2178,4806
1145,10380,3295,3162,4445
1571,11452,5649,2264,6744
90,10356,4463,2117,5174
90,10356,4463,2117,5174
1145,10380,3295,3162,4445
1298,10082,5680,1005,5800
3807,10203,8195,1905,7691
3372,11833,1233,5506,4909
2154,8949,6183,518,5360
1298,10082,5680,1005,5800
2039,11580,6172,2253,7152
1054,10441,3367,3108,4549
4268,14686,5456,5929,8718
372,10391,4045,2489,4931
2396,12140,6283,2813,7578
1864,11551,5968,2266,7006
980,10353,3460,3003,4522
423,10255,4053,2438,4815
666,9774,4627,1807,4793
1479,8960,4673,1965,4080
2396,12140,6283,2813,7578
4464,14889,5675,6082,8948
5098,15526,6534,6522,9750
4872,15242,6837,6084,9745
1919,10193,6317,830,6332
5700,15919,5477,7588,9445
4738,7092,4672,5245,660
407,10067,4285,2178,4806
2098,9864,6455,497,6211
90,10356,4463,2117,5174
2396,12140,6283,2813,7578
4464,14889,5675,6082,8948
5098,15526,6534,6522,9750
4872,15242,6837,6084,9745
1919,10193,6317,830,6332
5700,15919,5477,7588,9445
4738,7092,4672,5245,660
407,10067,4285,2178,4806
2098,9864,6455,497,6211
90,10356,4463,2117,5174
4994,5515,7398,3895,4130
3640,8968,7827,1442,6710
4793,14915,4519,6779,8410
710,10473,5110,1674,5698
2172,10431,2330,4103,3922
552,10953,4189,2668,5493
4221,7485,7913,2257,5923
4664,8568,8768,2466,7250
923,9963,3734,2696,4324
923,9963,3734,2696,4324
2306,11049,6654,1685,7121
923,9963,3734,2696,4324
923,9963,3734,2696,4324
1300,9168,4454,2101,4094
4592,10646,8994,2744,8506
756,9905,3986,2445,4446
433,10247,4048,2440,4805
4679,6964,4800,5110,849
4592,10646,8994,2744,8506
1968,11387,6180,2054,7031
433,10247,4048,2440,4805
1881,11834,5774,2612,7077
1340,9224,4197,2361,3932
760,9804,4119,2311,4447
923,9963,3734,2696,4324
1896,9965,2820,3656,3686
1556,10050,5937,822,5961
2346,9869,6707,577,6400
2316,11069,6661,1705,7138
923,9963,3734,2696,4324
4679,6964,4800,5110,849
923,9963,3734,2696,4324
1720,9940,6085,653,5991
744,9913,3991,2441,4457
1968,11387,6180,2054,7031
1859,9920,2883,3598,3676
815,9639,4737,1693,4758
923,9963,3734,2696,4324
2306,11049,6654,1685,7121
1996,11417,6199,2081,7063
923,9963,3734,2696,4324
536,10183,3979,2487,4701
1896,9965,2820,3656,3686
923,9963,3734,2696,4324
923,9963,3734,2696,4324
1898,9792,6236,456,6000
744,9913,3991,2441,4457
1859,9920,2883,3598,3676
923,9963,3734,2696,4324
923,9963,3734,2696,4324
1881,11834,5774,2612,7077
1861,9182,5956,535,5346
4664,8568,8768,2466,7250
4664,8568,8768,2466,7250
923,9963,3734,2696,4324
536,10183,3979,2487,4701
1556,10050,5937,822,5961
923,9963,3734,2696,4324
2346,9869,6707,577,6400
815,9639,4737,1693,4758
760,9804,4119,2311,4447
1720,9940,6085,653,5991
1300,9168,4454,2101,4094
923,9963,3734,2696,4324
1300,9168,4454,2101,4094
1340,9224,4197,2361,3932
4592,10646,8994,2744,8506
2316,11069,6661,1705,7138
756,9905,3986,2445,4446
1996,11417,6199,2081,7063
756,9905,3986,2445,4446
4679,6964,4800,5110,849
1968,11387,6180,2054,7031
1538,10445,2904,3539,4272
1058,9488,4179,2289,4186
433,10247,4048,2440,4805
4723,11899,9076,3366,9219
4686,11924,9034,3354,9204
1881,11834,5774,2612,7077
555,9909,4670,1785,4940
1340,9224,4197,2361,3932
2324,10801,6710,1448,7001
760,9804,4119,2311,4447
923,9963,3734,2696,4324
1896,9965,2820,3656,3686
1556,10050,5937,822,5961
2346,9869,6707,577,6400
1861,9182,5956,535,5346
2316,11069,6661,1705,7138
479,10219,4017,2461,4759
394,10284,4067,2434,4850
923,9963,3734,2696,4324
923,9963,3734,2696,4324
1720,9940,6085,653,5991
744,9913,3991,2441,4457
1859,9920,2883,3598,3676
815,9639,4737,1693,4758
2306,11049,6654,1685,7121
1996,11417,6199,2081,7063
431,10788,4132,2607,5323
536,10183,3979,2487,4701
988,10779,3444,3160,4908
923,9963,3734,2696,4324
923,9963,3734,2696,4324
1898,9792,6236,456,6000
4664,8568,8768,2466,7250
923,9963,3734,2696,4324
923,9963,3734,2696,4324
1300,9168,4454,2101,4094
4592,10646,8994,2744,8506
756,9905,3986,2445,4446
4679,6964,4800,5110,849
1968,11387,6180,2054,7031
433,10247,4048,2440,4805
1881,11834,5774,2612,7077
1340,9224,4197,2361,3932
760,9804,4119,2311,4447
923,9963,3734,2696,4324
1896,9965,2820,3656,3686
1556,10050,5937,822,5961
2346,9869,6707,577,6400
1861,9182,5956,535,5346
2316,11069,6661,1705,7138
923,9963,3734,2696,4324
923,9963,3734,2696,4324
1720,9940,6085,653,5991
744,9913,3991,2441,4457
1859,9920,2883,3598,3676
815,9639,4737,1693,4758
2306,11049,6654,1685,7121
1996,11417,6199,2081,7063
536,10183,3979,2487,4701
923,9963,3734,2696,4324
440,10274,4024,2470,4813
923,9963,3734,2696,4324
760,9804,4119,2311,4447
1898,9792,6236,456,6000
4664,8568,8768,2466,7250
923,9963,3734,2696,4324
923,9963,3734,2696,4324
1300,9168,4454,2101,4094
4592,10646,8994,2744,8506
756,9905,3986,2445,4446
4679,6964,4800,5110,849
1968,11387,6180,2054,7031
433,10247,4048,2440,4805
1881,11834,5774,2612,7077
1340,9224,4197,2361,3932
760,9804,4119,2311,4447
923,9963,3734,2696,4324
1896,9965,2820,3656,3686
1556,10050,5937,822,5961
2346,9869,6707,577,6400
1861,9182,5956,535,5346
2316,11069,6661,1705,7138
923,9963,3734,2696,4324
923,9963,3734,2696,4324
1720,9940,6085,653,5991
744,9913,3991,2441,4457
1859,9920,2883,3598,3676
815,9639,4737,1693,4758
2306,11049,6654,1685,7121
1996,11417,6199,2081,7063
536,10183,3979,2487,4701
923,9963,3734,2696,4324
923,9963,3734,2696,4324
1898,9792,6236,456,6000
4664,8568,8768,2466,7250
923,9963,3734,2696,4324
923,9963,3734,2696,4324
1300,9168,4454,2101,4094
4592,10646,8994,2744,8506
756,9905,3986,2445,4446
2273,10512,6678,1164,6795
4715,6835,4931,5083,950
2339,12772,4719,4032,7125
2342,12775,4723,4034,7129
2342,12775,4717,4036,7126
2354,12786,4691,4061,7120
2348,12780,4730,4036,7137
4511,8297,3499,5530,1069
2328,12761,4729,4016,7123
2343,12775,4708,4041,7122
2330,12763,4712,4026,7115
4679,6964,4800,5110,849
1968,11387,6180,2054,7031
433,10247,4048,2440,4805
1881,11834,5774,2612,7077
1340,9224,4197,2361,3932
760,9804,4119,2311,4447
923,9963,3734,2696,4324
1896,9965,2820,3656,3686
1556,10050,5937,822,5961
2346,9869,6707,577,6400
923,9963,3734,2696,4324
2202,10243,2395,4061,3739
1861,9182,5956,535,5346
4016,8661,8130,1820,6780
2316,11069,6661,1705,7138
923,9963,3734,2696,4324
3091,12480,7021,3113,8232
923,9963,3734,2696,4324
923,9963,3734,2696,4324
1720,9940,6085,653,5991
744,9913,3991,2441,4457
1859,9920,2883,3598,3676
815,9639,4737,1693,4758
2306,11049,6654,1685,7121
1996,11417,6199,2081,7063
536,10183,3979,2487,4701
483,10802,4064,2670,5294
923,9963,3734,2696,4324
923,9963,3734,2696,4324
1898,9792,6236,456,6000
2874,9027,7042,681,6116
2295,9822,6648,508,6325
2536,10402,6942,1140,6910
943,10386,3487,2986,4570
2377,10821,6763,1476,7050
1322,9219,4245,2309,3968
682,9974,4966,1529,5207
4664,8568,8768,2466,7250
923,9963,3734,2696,4324
923,9963,3734,2696,4324
1300,9168,4454,2101,4094
4592,10646,8994,2744,8506
3122,12424,7095,3060,8244
923,9963,3734,2696,4324
4679,6964,4800,5110,849
1968,11387,6180,2054,7031
433,10247,4048,2440,4805
1881,11834,5774,2612,7077
1340,9224,4197,2361,3932
760,9804,4119,2311,4447
923,9963,3734,2696,4324
2368,10777,6757,1433,7018
1896,9965,2820,3656,3686
4419,14326,7532,4964,9601
1556,10050,5937,822,5961
6268,4204,8290,5193,4459
2346,9869,6707,577,6400
1861,9182,5956,535,5346
2326,11847,6386,2497,7456
2316,11069,6661,1705,7138
923,9963,3734,2696,4324
710,9859,4111,2320,4492
1720,9940,6085,653,5991
1276,10427,5681,1278,6049
744,9913,3991,2441,4457
1859,9920,2883,3598,3676
815,9639,4737,1693,4758
2828,9785,2293,4463,3036
2306,11049,6654,1685,7121
536,10183,3979,2487,4701
923,9963,3734,2696,4324
3125,13558,5170,4703,7874
923,9963,3734,2696,4324
1898,9792,6236,456,6000
3112,13544,5161,4691,7861
4664,8568,8768,2466,7250
923,9963,3734,2696,4324
923,9963,3734,2696,4324
1300,9168,4454,2101,4094
923,9963,3734,2696,4324
2632,11868,6758,2499,7699
757,9811,4114,2316,4449
848,9692,4166,2269,4375
4592,10646,8994,2744,8506
4679,6964,4800,5110,849
1968,11387,6180,2054,7031
433,10247,4048,2440,4805
1881,11834,5774,2612,7077
1340,9224,4197,2361,3932
760,9804,4119,2311,4447
923,9963,3734,2696,4324
1896,9965,2820,3656,3686
1556,10050,5937,822,5961
2346,9869,6707,577,6400
1861,9182,5956,535,5346
2326,11847,6386,2497,7456
2316,11069,6661,1705,7138
923,9963,3734,2696,4324
1720,9940,6085,653,5991
1276,10427,5681,1278,6049
744,9913,3991,2441,4457
1859,9920,2883,3598,3676
815,9639,4737,1693,4758
2828,9785,2293,4463,3036
2306,11049,6654,1685,7121
536,10183,3979,2487,4701
632,9802,4465,1969,4698
2231,10417,2285,4151,3880
923,9963,3734,2696,4324
433,10247,4048,2440,4805
923,9963,3734,2696,4324
1898,9792,6236,456,6000
410,10308,4037,2468,4852
357,10608,4703,2061,5535
4664,8568,8768,2466,7250
923,9963,3734,2696,4324
2340,12772,4716,4035,7124
3116,13548,5168,4693,7866
923,9963,3734,2696,4324
1324,10340,5730,1178,6022
923,9963,3734,2696,4324
1300,9168,4454,2101,4094
879,10692,3539,3042,4886
3099,12482,7031,3114,8239
3803,10165,8188,1886,7666
1262,9200,4945,1558,4537
3229,13056,6770,3706,8429
741,10789,3721,2936,5078
695,9799,4252,2179,4539
1007,10189,3500,2939,4388
4592,10646,8994,2744,8506
1986,9910,6350,544,6164
2365,12798,4706,4067,7136
1968,11387,6180,2054,7031
433,10247,4048,2440,4805
2340,9945,2481,4067,3420
1881,11834,5774,2612,7077
1340,9224,4197,2361,3932
1750,9427,5954,477,5525
760,9804,4119,2311,4447
923,9963,3734,2696,4324
1896,9965,2820,3656,3686
1556,10050,5937,822,5961
1448,9104,4252,2358,3854
2346,9869,6707,577,6400
1861,9182,5956,535,5346
2326,11847,6386,2497,7456
635,9829,4702,1741,4896
2316,11069,6661,1705,7138
923,9963,3734,2696,4324
1082,9379,4422,2058,4274
1720,9940,6085,653,5991
1201,9677,5432,1018,5315
1276,10427,5681,1278,6049
744,9913,3991,2441,4457
1859,9920,2883,3598,3676
6669,17042,8214,7842,11455
815,9639,4737,1693,4758
2828,9785,2293,4463,3036
1299,10101,5683,1017,5817
2306,11049,6654,1685,7121
536,10183,3979,2487,4701
1744,9855,6091,577,5936
923,9963,3734,2696,4324
923,9963,3734,2696,4324
4358,10820,8764,2614,8435
1898,9792,6236,456,6000
4153,8968,8349,1958,7126
4664,8568,8768,2466,7250
1693,9349,3555,3046,3520
923,9963,3734,2696,4324
