source,id,price,area,rooms,floor,storeys,building_type,condition,bathroom_count,new_building,F_Balcony,F_Internet,F_Security,F_Elevator,F_Air Conditioner,F_Heating System,F_Furniture,latitude,longitude,coordinates
bnakaran,d117461,830000.0,143.0,5.0,3.0,4.0,Stone,Good Condition,1.0,0,0,0,0,0,0,0,0,44.518273284377,40.189082109295,"(40.189082109295, 44.518273284377)"
bnakaran,d117458,720000.0,149.0,3.0,4.0,4.0,Stone,Good Condition,1.0,0,0,0,0,0,0,0,0,44.518509318771,40.18907388139,"(40.18907388139, 44.518509318771)"
bnakaran,d116653,310000.0,102.0,3.0,1.0,5.0,Other,Good Condition,1.0,0,0,0,0,0,0,1,0,44.512879,40.17787,"(40.17787, 44.512879)"
bnakaran,d117438,225000.0,76.0,3.0,2.0,4.0,Stone,New/Excellent Condition,1.0,0,0,0,0,0,1,0,0,44.504646354492,40.191902191247,"(40.191902191247, 44.504646354492)"
bnakaran,d117460,162000.0,89.0,3.0,7.0,10.0,Monolit,Good Condition,2.0,1,0,0,0,0,1,0,0,44.530791,40.204558624735,"(40.204558624735, 44.530791)"
bnakaran,d103808,270000.0,93.0,3.0,3.0,8.0,Monolit,Good Condition,1.0,1,0,0,0,0,0,0,0,44.509799957275,40.174900054932,"(40.174900054932, 44.509799957275)"
bnakaran,d117439,80000.0,46.0,2.0,6.0,11.0,Monolit,Good Condition,1.0,1,0,0,0,0,1,0,0,44.477549986785,40.205032646482,"(40.205032646482, 44.477549986785)"
bnakaran,d117436,135000.0,82.0,3.0,2.0,5.0,Stone,Good Condition,1.0,0,0,0,0,0,1,1,0,44.512879,40.17787,"(40.17787, 44.512879)"
bnakaran,d117435,135000.0,96.0,4.0,7.0,9.0,Panel,Good Condition,1.0,0,0,0,0,0,1,0,0,44.512879,40.17787,"(40.17787, 44.512879)"
bnakaran,d117433,360000.0,86.0,3.0,4.0,4.0,Stone,Good Condition,1.0,0,0,0,0,0,1,0,0,44.517123166656,40.18555817148,"(40.18555817148, 44.517123166656)"
bnakaran,d117378,243000.0,92.0,3.0,8.0,12.0,Panel,Good Condition,1.0,0,0,0,0,0,1,0,0,44.51325256561,40.181729047825,"(40.181729047825, 44.51325256561)"
bnakaran,d117297,229000.0,52.0,2.0,4.0,10.0,Monolit,New/Excellent Condition,2.0,1,0,0,0,0,0,0,0,44.515032203704,40.179209538007,"(40.179209538007, 44.515032203704)"
bnakaran,d117258,155000.0,80.0,3.0,7.0,16.0,Panel,Good Condition,1.0,0,0,0,0,0,1,0,0,44.512879,40.17787,"(40.17787, 44.512879)"
bnakaran,d117430,255000.0,125.0,4.0,6.0,16.0,Monolit,Good Condition,2.0,1,0,0,0,0,1,0,0,44.512879,40.17787,"(40.17787, 44.512879)"
bnakaran,d117425,85000.0,56.0,2.0,11.0,12.0,Panel,Good Condition,1.0,0,0,0,0,0,1,0,0,44.512879,40.17787,"(40.17787, 44.512879)"
bnakaran,d107232,165000.0,45.0,2.0,12.0,12.0,Panel,Good Condition,1.0,0,0,0,0,0,0,0,0,44.518088526458,40.183930968317,"(40.183930968317, 44.518088526458)"
bnakaran,d103739,480000.0,89.0,2.0,4.0,6.0,Stone,New/Excellent Condition,1.0,0,0,0,0,0,0,0,0,44.513500213623,40.187999725342,"(40.187999725342, 44.513500213623)"
bnakaran,d117411,164900.0,87.0,3.0,4.0,4.0,Stone,Needs Renovation/Repair,2.0,0,0,0,0,0,1,1,0,44.493371287033,40.199485647507,"(40.199485647507, 44.493371287033)"
bnakaran,d117408,345000.0,84.0,3.0,12.0,16.0,Monolit,Good Condition,1.0,1,0,0,1,0,0,0,0,44.511424,40.185194,"(40.185194, 44.511424)"
bnakaran,d117403,91000.0,67.0,2.0,3.0,9.0,Panel,Good Condition,1.0,0,0,0,0,0,1,0,0,44.583026093254,40.216669267644,"(40.216669267644, 44.583026093254)"
bnakaran,d73884,520000.0,156.0,4.0,9.0,17.0,Monolit,Good Condition,1.0,1,0,0,0,0,1,0,0,44.526699066162,40.176898956299,"(40.176898956299, 44.526699066162)"
bnakaran,d102111,560000.0,188.0,4.0,4.0,5.0,Stone,Good Condition,3.0,0,0,0,1,0,1,0,0,44.514392855786,40.183022855957,"(40.183022855957, 44.514392855786)"
bnakaran,d117398,350000.0,100.0,3.0,4.0,4.0,Stone,Needs Renovation/Repair,1.0,0,0,0,0,0,1,1,0,44.512879,40.17787,"(40.17787, 44.512879)"
