,source,id,price,area,rooms,floor,storeys,bathroom_count,new_building,F_Balcony,F_Internet,F_Security,F_Elevator,F_Air Conditioner,F_Heating System,F_Furniture,latitude,longitude,SL_opera,SL_zvartnoc,SL_central_cemetery,SL_baghramyan_subway,SL_shengavit_subway,L_pharmacy,L_atm,L_parking,L_clinic,L_place_of_worship,L_university,L_kindergarten,L_hospital,building_type_Monolit,building_type_Other,building_type_Panel,building_type_Stone,condition_Good Condition,condition_Needs Renovation/Repair,condition_New/Excellent Condition,condition_Other
1978,bnakaran,d114126,435000.0,165.0,5.0,11.0,17.0,3.0,1,0,0,0,0,0,0,0,44.49717325656,40.193878090556,1756,9425,5959,472,5528,5,5,1,1,0,0,0,0,1,0,0,0,1,0,0,0
1979,bnakaran,d115105,255000.0,130.0,5.0,3.0,5.0,2.0,0,0,0,0,0,1,0,0,44.49724554114,40.197988225659,2018,9662,6329,305,5980,6,5,0,1,0,0,2,0,0,0,0,1,1,0,0,0
1980,bnakaran,d115282,315000.0,137.0,4.0,2.0,6.0,2.0,1,0,0,0,0,1,0,0,44.491773407443,40.220544638857,4321,10848,8727,2596,8424,7,4,3,0,0,1,2,0,1,0,0,0,1,0,0,0
1981,bnakaran,d115331,500000.0,178.0,4.0,5.0,8.0,2.0,1,0,0,0,0,0,0,0,44.514254734085,40.199972465475,1555,11022,5854,1765,6580,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1982,bnakaran,d116616,323000.0,90.0,3.0,6.0,8.0,2.0,0,0,0,0,0,0,0,0,44.519339312825,40.180868831777,675,10585,3733,2833,4907,8,21,9,0,0,0,1,0,0,1,0,0,1,0,0,0
1983,bnakaran,d117260,175000.0,52.0,3.0,3.0,5.0,1.0,0,0,0,0,0,0,0,0,44.52789,40.182755,1145,11341,3674,3314,5519,0,3,5,1,0,12,0,0,0,0,0,1,1,0,0,0
1994,bnakaran,d117560,155000.0,80.0,2.0,7.0,16.0,1.0,0,0,0,0,0,1,0,0,44.512879,40.17787,923,9963,3734,2696,4324,1,16,14,1,0,0,0,0,0,1,0,0,1,0,0,0
1998,bnakaran,d107554,187950.0,125.0,4.0,8.0,10.0,3.0,1,0,0,0,0,1,0,0,44.545980515027,40.19442802257,2786,13218,4888,4444,7510,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0
2005,bnakaran,d117415,250000.0,50.0,2.0,13.0,13.0,1.0,1,0,0,0,0,0,0,0,44.509672,40.1825,602,9865,4311,2123,4643,9,17,5,6,0,2,6,4,0,1,0,0,1,0,0,0
2006,bnakaran,d102666,280000.0,135.0,4.0,5.0,10.0,2.0,1,0,0,1,0,0,0,0,44.512278017196,40.196568820992,1199,10696,5569,1572,6166,0,1,3,0,0,0,0,0,1,0,0,0,0,0,1,0
2007,bnakaran,d115504,264000.0,197.0,3.0,8.0,9.0,3.0,1,0,0,0,0,1,1,0,44.541246814757,40.192968448314,2353,12784,4693,4059,7120,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2008,bnakaran,d115688,350000.0,100.0,3.0,2.0,6.0,1.0,0,0,0,0,0,0,0,0,44.518451685843,40.178064348413,927,10424,3494,2989,4610,9,12,7,1,0,0,1,0,0,0,0,1,1,0,0,0
2009,bnakaran,d116880,350000.0,104.0,3.0,1.0,15.0,2.0,1,0,0,0,0,0,0,0,44.516364,40.190678,531,10729,4830,2052,5710,4,12,2,0,0,1,3,0,1,0,0,0,1,0,0,0
2010,bnakaran,d112939,430000.0,117.0,3.0,4.0,4.0,2.0,0,0,0,0,0,0,0,0,44.51163,40.184608,332,10102,4416,2066,4927,10,19,7,4,2,1,3,5,0,0,0,1,1,0,0,0
2011,bnakaran,d117300,82000.0,33.0,2.0,12.0,14.0,1.0,0,0,0,0,0,0,0,0,44.505718691787,40.205087339636,2266,10693,6662,1337,6900,3,6,6,0,0,0,1,1,0,1,0,0,0,0,1,0
2012,bnakaran,d86810,131000.0,39.0,2.0,4.0,4.0,1.0,0,0,0,0,0,0,0,0,44.512050920857,40.185021654168,280,10152,4436,2062,4984,9,19,7,4,2,1,2,5,0,0,0,1,1,0,0,0
2013,bnakaran,d97605,225000.0,36.0,1.0,3.0,15.0,1.0,1,0,0,1,0,1,0,0,44.511268523448,40.179866056272,755,9898,3994,2437,4446,3,18,8,3,0,1,3,3,1,0,0,0,1,0,0,0
2014,bnakaran,d103793,185000.0,61.0,2.0,2.0,5.0,1.0,0,0,0,0,0,1,0,0,44.50469859247,40.178883366649,1185,9334,4265,2242,4102,12,18,4,2,2,0,2,1,0,0,0,1,0,0,1,0
2015,bnakaran,d112892,260000.0,60.0,2.0,11.0,11.0,1.0,1,0,0,0,0,0,0,0,44.514714923942,40.180791997126,579,10209,3917,2550,4682,5,20,8,3,0,1,1,1,1,0,0,0,1,0,0,0
