source,id,price,area,rooms,floor,storeys,bathroom_count,new_building,F_Balcony,F_Internet,F_Security,F_Elevator,F_Air Conditioner,F_Heating System,F_Furniture,latitude,longitude,SL_opera,SL_zvartnoc,SL_central_cemetery,SL_baghramyan_subway,SL_shengavit_subway,L_pharmacy,L_atm,L_parking,L_clinic,L_place_of_worship,L_university,L_kindergarten,L_hospital,building_type_Monolit,building_type_Other,building_type_Panel,building_type_Stone,condition_Good Condition,condition_Needs Renovation/Repair,condition_New/Excellent Condition,condition_Other
myrealty,140818,115385.0,65.0,2.0,4.0,10.0,1.0,0,0,0,0,1,0,0,0,44.49141207406966,40.19293930149094,2154,8949,6183,518,5360,5,0,3,1,0,1,0,2,0,0,1,0,1,0,0,0
myrealty,122816,185000.0,176.0,3.0,1.0,5.0,2.0,0,0,0,0,0,0,0,0,44.4672332201912,40.19625664909909,4221,7485,7913,2257,5923,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
myrealty,130065,185000.0,107.0,3.0,12.0,14.0,1.0,0,0,0,0,0,0,0,0,44.4672332201912,40.19625664909909,4221,7485,7913,2257,5923,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
bnakaran,d117899,120000.0,42.0,2.0,8.0,10.0,1.0,0,0,0,0,0,1,0,0,44.515135017196,40.160566760308,2828,9785,2293,4463,3036,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
myrealty,140857,350000.0,110.0,4.0,8.0,15.0,2.0,1,0,1,1,1,1,1,1,44.52706263472466,40.205140244623664,2358,12253,6125,2960,7556,2,3,5,0,2,2,3,0,1,0,0,0,0,0,1,0
bnakaran,d117794,365000.0,127.0,4.0,2.0,10.0,2.0,1,0,0,0,0,0,0,0,44.507488536383,40.186069443499,645,9835,4743,1702,4931,4,6,6,4,2,1,2,2,1,0,0,0,1,0,0,0
bnakaran,d115274,290000.0,126.0,4.0,8.0,8.0,2.0,1,1,0,0,1,1,0,1,44.512879,40.17787,923,9963,3734,2696,4324,1,16,14,1,0,0,0,0,0,1,0,0,0,0,1,0
bnakaran,d91000,380000.0,118.0,4.0,4.0,5.0,2.0,0,0,0,0,0,0,0,0,44.515838200314,40.179283894826,749,10249,3724,2738,4593,6,16,9,1,0,0,2,0,0,0,0,1,1,0,0,0
myrealty,126218,150000.0,72.0,3.0,4.0,8.0,1.0,0,0,0,0,1,1,1,1,44.49978402004816,40.19794363418706,1858,9844,6206,515,6014,8,6,0,1,0,0,0,0,1,0,0,0,0,0,1,0
myrealty,141785,410000.0,161.0,5.0,4.0,5.0,2.0,0,0,1,0,0,1,1,1,44.51808492499669,40.187096641397815,282,10714,4406,2352,5431,6,21,2,0,1,2,1,2,0,0,0,1,0,0,1,0
myrealty,142640,269000.0,80.0,3.0,9.0,14.0,2.0,1,0,1,0,1,1,1,1,44.48023076128606,40.14596510603376,5347,6813,5015,5816,491,0,0,1,0,0,0,2,0,1,0,0,0,0,0,1,0
