,source,webpage,success,error,skipped
56,bnakaran,https://www.bnakaran.com/en/apartment-for-sale-in-shengavit-yerevan-d116950,True,,True
57,bnakaran,https://www.bnakaran.com/en/apartment-for-sale-in-center-yerevan-d97802,True,,True
58,bars,https://bars.am/en/properties/standard/apartment/4-2-201,True,,
59,bnakaran,https://www.bnakaran.com/en/apartment-for-sale-in-arabkir-yerevan-d115472,True,,True
60,bnakaran,https://www.bnakaran.com/en/apartment-in-new-building-for-sale-in-arabkir-yerevan-d115059,True,'DataFrame' object is not callable,True
61,bars,https://bars.am/en/properties/standard/apartment/1-B-97,True,,
62,bars,https://bars.am/en/properties/exclusive/apartment/24073,False,invalid literal for int() with base 10: 'Price Upon Request',
63,bars,https://bars.am/en/properties/exclusive/apartment/11396,False,invalid literal for int() with base 10: 'Price Upon Request',
64,bars,https://bars.am/en/properties/exclusive/apartment/4-3-1271,False,invalid literal for int() with base 10: 'Price Upon Request',
65,bars,https://bars.am/en/properties/exclusive/apartment/87227,False,invalid literal for int() with base 10: 'Price Upon Request',
66,bars,https://bars.am/en/properties/exclusive/apartment/1-Ayg,False,invalid literal for int() with base 10: 'Price Upon Request',
67,bars,https://bars.am/en/properties/exclusive/apartment/70008,False,invalid literal for int() with base 10: 'Price Upon Request',
68,bars,https://bars.am/en/properties/exclusive/apartment/70009,False,invalid literal for int() with base 10: 'Price Upon Request',
69,bars,https://bars.am/en/properties/exclusive/apartment/55529,False,invalid literal for int() with base 10: 'Price Upon Request',
70,bars,https://bars.am/en/properties/exclusive/apartment/18240,False,invalid literal for int() with base 10: 'Price Upon Request',
71,bars,https://bars.am/en/properties/exclusive/apartment/51917,False,invalid literal for int() with base 10: 'Price Upon Request',
72,bars,https://bars.am/en/properties/exclusive/apartment/65888,False,invalid literal for int() with base 10: 'Price Upon Request',
73,bars,https://bars.am/en/properties/standard/apartment/4-3-1432,True,,
74,myrealty,https://myrealty.am/en/4-bedroom/apartment-for-sale/Abovyan+St/Center/Yerevan/142656,True,,
75,myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale-in-new-construction/Northern+%28Hyusisayin%29++Ave/Center/Yerevan/142653,True,,
76,myrealty,https://myrealty.am/en/4-bedroom/apartment-for-sale/Vardanants+St/Center/Yerevan/142652,True,,
77,bars,https://bars.am/en/properties/standard/apartment/1-B-128,True,,
78,myrealty,https://myrealty.am/en/2-bedroom/apartment-for-sale/Azatutyan+Ave/Arabkir/Yerevan/142648,True,,
79,myrealty,https://myrealty.am/en/2-bedroom/apartment-for-sale/Nor+Aresh+12+St/Erebuni/Yerevan/142649,True,,
80,bnakaran,https://www.bnakaran.com/en/apartment-for-sale-in-arabkir-yerevan-d117909,True,'BnakaranApartmentScraper' object has no attribute 'soup',True
81,bars,https://bars.am/en/properties/standard/apartment/4-3-1412,True,,
82,myrealty,https://myrealty.am/en/2-bedroom/apartment-for-sale-in-new-construction/Antarayin+St/Center/Yerevan/142645,True,,
83,bnakaran,https://www.bnakaran.com/en/apartment-for-sale-in-arabkir-yerevan-d116789,True,,True
84,myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale-in-new-construction/Arxutyan+St/Arabkir/Yerevan/142640,True,,
85,myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale-in-new-construction/Northern+%28Hyusisayin%29++Ave/Center/Yerevan/142638,True,,
86,bars,https://bars.am/en/properties/standard/apartment/1-2-990,True,,
87,myrealty,https://myrealty.am/en/1-bedroom/apartment-for-sale/Avan-Arinj+1+micro/Avan/Yerevan/142637,True,,
88,myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale/Saryan+St/Center/Yerevan/142635,True,,
89,bnakaran,https://www.bnakaran.com/en/apartment-in-new-building-for-sale-in-arabkir-yerevan-d115274,True,'DataFrame' object is not callable,True
90,myrealty,https://myrealty.am/en/2-bedroom/apartment-for-sale/Mashtots+Ave/Center/Yerevan/142633,True,,
91,bars,https://bars.am/en/properties/standard/apartment/4-3-1181,True,,
92,myrealty,https://myrealty.am/en/1-bedroom/apartment-for-sale/Abovyan+St/Center/Yerevan/142628,True,,
93,myrealty,https://myrealty.am/en/2-bedroom/apartment-for-sale-in-new-construction/Argishti+St/Center/Yerevan/142627,True,,
94,myrealty,https://myrealty.am/en/2-bedroom/apartment-for-sale-in-new-construction/Keri+St/Arabkir/Yerevan/142626,True,,
95,bars,https://bars.am/en/properties/standard/apartment/1-3-1912,True,,
96,myrealty,https://myrealty.am/en/1-bedroom/apartment-for-sale/Azatutyan+Ave/Arabkir/Yerevan/142624,True,,
97,bnakaran,https://www.bnakaran.com/en/apartment-for-sale-in-erebouni-yerevan-d117899,True,,True
98,myrealty,https://myrealty.am/en/2-bedroom/apartment-for-sale/A.+Babajanyan+St/Malatia-Sebastia/Yerevan/142615,True,,
99,myrealty,https://myrealty.am/en/2-bedroom/apartment-for-sale-in-new-construction/Adonts+St/Arabkir/Yerevan/142602,True,,
100,bnakaran,https://www.bnakaran.com/en/apartment-for-sale-in-arabkir-yerevan-d114569,True,,True
